backend,dataset,height,scheme,active_records,width,max_bucket,query_samples,completed_queries,setup_ms,client_query_ms,server_total_ms,server_parallel_ms,client_decode_ms,offline_kb,online_upload_kb,online_download_kb,online_total_kb,evidence,stored_records
SimplePIR-full-api,FuelLabs SMT test vectors,128,SparseTreePIR,198,9,,20,20,1.8775709999999999,6.50612875,0.025265199999999998,0.0053789499999999995,0.1421876000000001,3456,2.53125,3.375,5.90625,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
PIANO-local-runner,Polygon zkEVM recent,128,PBC-SMT,766,17,136,20,340,24.771,2.086,0.0,0.0,0.0,172.40625,34.53125,2.65625,37.1875,PIANO executable runner over the exact real-workload bucket-size vector,2298
PIANO-local-runner,Polygon zkEVM recent,128,SparseTreePIR,766,11,70,20,220,6.037,0.698,0.0,0.0,0.0,73.21875,15.46875,1.71875,17.1875,PIANO executable runner over the exact real-workload bucket-size vector,766
PIANO-local-runner,Polygon zkEVM multi-window,128,PBC-SMT,2694,21,385,20,420,62.106,2.59,0.0,0.0,0.0,435.09375,68.90625,3.28125,72.1875,PIANO executable runner over the exact real-workload bucket-size vector,8082
PIANO-local-runner,Polygon zkEVM multi-window,128,SparseTreePIR,2694,14,193,20,280,23.267,1.595,0.0,0.0,0.0,193.5,32.8125,2.1875,35.0,PIANO executable runner over the exact real-workload bucket-size vector,2694
PIANO-local-runner,Polygon zkEVM broad,128,PBC-SMT,14078,26,1625,20,520,393.699,6.123,0.0,0.0,0.0,1424.4375,166.5625,4.0625,170.625,PIANO executable runner over the exact real-workload bucket-size vector,42234
PIANO-local-runner,Polygon zkEVM broad,128,SparseTreePIR,14078,17,829,20,340,182.265,4.995,0.0,0.0,0.0,594.46875,79.6875,2.65625,82.34375,PIANO executable runner over the exact real-workload bucket-size vector,14078
PIANO-local-runner,ZKsync Era sample,128,PBC-SMT,1910,20,287,20,400,57.732,2.95,0.0,0.0,0.0,346.875,56.25,3.125,59.375,PIANO executable runner over the exact real-workload bucket-size vector,5730
PIANO-local-runner,ZKsync Era sample,128,SparseTreePIR,1910,13,147,20,260,10.571,0.713,0.0,0.0,0.0,136.5,26.40625,2.03125,28.4375,PIANO executable runner over the exact real-workload bucket-size vector,1910
PIANO-local-runner,ZKsync Era broad,128,PBC-SMT,15478,26,1786,20,520,551.467,9.273,0.0,0.0,0.0,1503.9375,174.6875,4.0625,178.75,PIANO executable runner over the exact real-workload bucket-size vector,46434
PIANO-local-runner,ZKsync Era broad,128,SparseTreePIR,15478,17,911,20,340,176.832,4.448,0.0,0.0,0.0,623.15625,82.34375,2.65625,85.0,PIANO executable runner over the exact real-workload bucket-size vector,15478
PIANO-local-runner,FuelLabs SMT test vectors,128,PBC-SMT,198,14,43,20,280,4.757,0.675,0.0,0.0,0.0,60.75,16.25,2.1875,18.4375,PIANO executable runner over the exact real-workload bucket-size vector,594
PIANO-local-runner,FuelLabs SMT test vectors,128,SparseTreePIR,198,9,23,20,126,1.05,0.14,0.0,0.0,0.0,27.0,5.90625,0.984375,6.890625,PIANO executable runner over the exact real-workload bucket-size vector,198
