"dataset","source_path","height","key_mode","input_records","unique_keys","occupied_leaves","slot_collisions","active_records","active_width_m","structural_lower_bound","target_batch","scheme","private","width","stored_records","max_bucket","max_bucket_log2","sum_bucket_records","avg_real_slots_per_target","dummy_rate","ordinary_separate_bytes","ordinary_batch_dedup_bytes","private_workload_record_proxy","notes"
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","128","sha256","7740","7740","7740","0","15478","17","911","32","pruned_level_pir_h","True","128","15478","3014","","15478","13.21875","0.896728515625","13536","10400","495296","Real-data private PIR workload proxy; backend constants depend on packing."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","128","sha256","7740","7740","7740","0","15478","17","911","32","sparsetreepir_batch_pir","True","17","15478","911","","15478","13.21875","0.22242647058823528","13536","10400","495296","Real-data private PIR workload proxy; backend constants depend on packing."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","128","sha256","7740","7740","7740","0","15478","17","911","128","ordinary_smt_batch_serving","False","0","15478","0","","0","13.2734375","0.0","54368","33632","0","Real-data non-private SMT proof serving; server knows all batch targets."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","128","sha256","7740","7740","7740","0","15478","17","911","128","perfectized_treepir","True","128","680564733841876926926749214863536422910","5316911983139663491615228241121378304","122.00","680564733841876926926749214863536422912","13.2734375","0.89630126953125","54368","33632","87112285931760246646623899502532662132736","Real-data private PIR workload proxy; backend constants depend on packing."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","128","sha256","7740","7740","7740","0","15478","17","911","128","pruned_level_pir_h","True","128","15478","3014","","15478","13.2734375","0.89630126953125","54368","33632","1981184","Real-data private PIR workload proxy; backend constants depend on packing."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","128","sha256","7740","7740","7740","0","15478","17","911","128","sparsetreepir_batch_pir","True","17","15478","911","","15478","13.2734375","0.2192095588235294","54368","33632","1981184","Real-data private PIR workload proxy; backend constants depend on packing."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","256","sha256","7740","7740","7740","0","15478","17","911","1","ordinary_smt_batch_serving","False","0","15478","0","","0","12","0.0","384","384","0","Real-data non-private SMT proof serving; server knows all batch targets."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","256","sha256","7740","7740","7740","0","15478","17","911","1","perfectized_treepir","True","256","231584178474632390847141970017375815706539969331281128078915168015826259279870","904625697166532776746648320380374280103671755200316906558262375061821325312","249.00","231584178474632390847141970017375815706539969331281128078915168015826259279872","12","0.953125","384","384","231584178474632390847141970017375815706539969331281128078915168015826259279872","Real-data private PIR workload proxy; backend constants depend on packing."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","256","sha256","7740","7740","7740","0","15478","17","911","1","pruned_level_pir_h","True","256","15478","3014","","15478","12","0.953125","384","384","15478","Real-data private PIR workload proxy; backend constants depend on packing."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","256","sha256","7740","7740","7740","0","15478","17","911","1","sparsetreepir_batch_pir","True","17","15478","911","","15478","12","0.29411764705882354","384","384","15478","Real-data private PIR workload proxy; backend constants depend on packing."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","256","sha256","7740","7740","7740","0","15478","17","911","32","ordinary_smt_batch_serving","False","0","15478","0","","0","13.53125","0.0","13856","10656","0","Real-data non-private SMT proof serving; server knows all batch targets."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","256","sha256","7740","7740","7740","0","15478","17","911","32","perfectized_treepir","True","256","231584178474632390847141970017375815706539969331281128078915168015826259279870","904625697166532776746648320380374280103671755200316906558262375061821325312","249.00","231584178474632390847141970017375815706539969331281128078915168015826259279872","13.53125","0.9471435546875","13856","10656","7410693711188236507108543040556026102609279018600996098525285376506440296955904","Real-data private PIR workload proxy; backend constants depend on packing."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","256","sha256","7740","7740","7740","0","15478","17","911","32","pruned_level_pir_h","True","256","15478","3014","","15478","13.53125","0.9471435546875","13856","10656","495296","Real-data private PIR workload proxy; backend constants depend on packing."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","256","sha256","7740","7740","7740","0","15478","17","911","32","sparsetreepir_batch_pir","True","17","15478","911","","15478","13.53125","0.20404411764705882","13856","10656","495296","Real-data private PIR workload proxy; backend constants depend on packing."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","256","sha256","7740","7740","7740","0","15478","17","911","128","ordinary_smt_batch_serving","False","0","15478","0","","0","13.359375","0.0","54720","33792","0","Real-data non-private SMT proof serving; server knows all batch targets."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","256","sha256","7740","7740","7740","0","15478","17","911","128","perfectized_treepir","True","256","231584178474632390847141970017375815706539969331281128078915168015826259279870","904625697166532776746648320380374280103671755200316906558262375061821325312","249.00","231584178474632390847141970017375815706539969331281128078915168015826259279872","13.359375","0.94781494140625","54720","33792","29642774844752946028434172162224104410437116074403984394101141506025761187823616","Real-data private PIR workload proxy; backend constants depend on packing."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","256","sha256","7740","7740","7740","0","15478","17","911","128","pruned_level_pir_h","True","256","15478","3014","","15478","13.359375","0.94781494140625","54720","33792","1981184","Real-data private PIR workload proxy; backend constants depend on packing."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","256","sha256","7740","7740","7740","0","15478","17","911","128","sparsetreepir_batch_pir","True","17","15478","911","","15478","13.359375","0.21415441176470587","54720","33792","1981184","Real-data private PIR workload proxy; backend constants depend on packing."
