backend,dataset,height,scheme,active_records,width,max_bucket,query_samples,completed_queries,setup_ms,client_query_ms,server_total_ms,server_parallel_ms,client_decode_ms,offline_kb,online_upload_kb,online_download_kb,online_total_kb,evidence,stored_records
SimplePIR-full-api,FuelLabs SMT test vectors,128,SparseTreePIR,198,9,,50,50,1.7208519999999998,6.139027540000008,0.02592584,0.006790080000000001,0.13300032000000012,3456,2.53125,3.375,5.90625,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
PIANO-local-runner,Polygon zkEVM recent,128,PBC-SMT,766,17,136,50,850,12.848,2.288,0.0,0.0,0.0,172.40625,86.328125,6.640625,92.96875,PIANO executable runner over the exact real-workload bucket-size vector,2298
PIANO-local-runner,Polygon zkEVM recent,128,SparseTreePIR,766,11,70,50,385,6.35,1.126,0.0,0.0,0.0,73.21875,27.070312,3.007812,30.078125,PIANO executable runner over the exact real-workload bucket-size vector,766
PIANO-local-runner,Polygon zkEVM multi-window,128,PBC-SMT,2694,21,385,50,1050,77.305,7.768,0.0,0.0,0.0,435.09375,172.265625,8.203125,180.46875,PIANO executable runner over the exact real-workload bucket-size vector,8082
PIANO-local-runner,Polygon zkEVM multi-window,128,SparseTreePIR,2694,14,193,50,700,26.72,3.905,0.0,0.0,0.0,193.5,82.03125,5.46875,87.5,PIANO executable runner over the exact real-workload bucket-size vector,2694
PIANO-local-runner,Polygon zkEVM broad,128,PBC-SMT,14078,26,1625,50,1300,552.343,23.849,0.001,0.001,0.0,1424.4375,416.40625,10.15625,426.5625,PIANO executable runner over the exact real-workload bucket-size vector,42234
PIANO-local-runner,Polygon zkEVM broad,128,SparseTreePIR,14078,17,829,50,850,116.252,7.476,0.0,0.0,0.0,594.46875,199.21875,6.640625,205.859375,PIANO executable runner over the exact real-workload bucket-size vector,14078
PIANO-local-runner,ZKsync Era sample,128,PBC-SMT,1910,20,287,50,1000,39.883,4.568,0.0,0.0,0.0,346.875,140.625,7.8125,148.4375,PIANO executable runner over the exact real-workload bucket-size vector,5730
PIANO-local-runner,ZKsync Era sample,128,SparseTreePIR,1910,13,147,50,650,14.614,3.115,0.006,0.006,0.0,136.5,66.015625,5.078125,71.09375,PIANO executable runner over the exact real-workload bucket-size vector,1910
PIANO-local-runner,ZKsync Era broad,128,PBC-SMT,15478,26,1786,50,1300,456.637,17.738,0.011,0.011,0.0,1503.9375,436.71875,10.15625,446.875,PIANO executable runner over the exact real-workload bucket-size vector,46434
PIANO-local-runner,ZKsync Era broad,128,SparseTreePIR,15478,17,911,50,850,174.395,10.936,0.0,0.0,0.0,623.15625,205.859375,6.640625,212.5,PIANO executable runner over the exact real-workload bucket-size vector,15478
PIANO-local-runner,FuelLabs SMT test vectors,128,PBC-SMT,198,14,43,50,336,2.659,0.404,0.0,0.0,0.0,60.75,19.5,2.625,22.125,PIANO executable runner over the exact real-workload bucket-size vector,594
PIANO-local-runner,FuelLabs SMT test vectors,128,SparseTreePIR,198,9,23,50,126,1.092,0.145,0.0,0.0,0.0,27.0,5.90625,0.984375,6.890625,PIANO executable runner over the exact real-workload bucket-size vector,198
