case,method,repeat,leaves,records,m,buckets,max_bucket,rounded_entries,pir_dimensions,L,M,matrix_rows,matrix_cols,lwe_dimension,plaintext_modulus,ciphertext_logq,noise_sigma,base_p_digits,PIR_calls,proofs,serialized_proof_wall_ms,route_ms,query_ms,query_roundtrip_ms,answer_ms,answer_roundtrip_ms,decode_ms,proof_verify_ms,query_matrix_payload_bytes,query_framed_bytes,answer_matrix_payload_bytes,answer_framed_bytes,online_framed_bytes,active_digest_payload_bytes,backend_rounded_raw_payload_bytes,bootstrap_framed_components_bytes,bootstrap_payload_bytes,combined_peak_rss_after_setup_bytes,combined_peak_rss_final_bytes,db_info_roundtrip_ms,db_info_serialized_bytes,encoded_db_bytes,hint_framed_bytes,hint_matrix_bytes,hint_roundtrip_ms,init_public_A_ms,initialized_databases,input_read_validate_ms,make_database_ms,max_padded_bucket_payload_bytes,parameter_selection_ms,persistent_setup_wall_ms,public_A_framed_bytes,public_A_matrix_bytes,public_A_roundtrip_ms,public_metadata_roundtrip_and_directory_ms,public_metadata_serialized_bytes,replicated_record_payload_bytes,setup_client_to_server_bytes,setup_hint_and_squish_ms,setup_server_to_client_serialized_components_bytes,unsquished_db_matrix_bytes,setup_serialized_payload_bytes,common_metadata_payload_bytes,digest_only_cache_bytes,full_cache_reference_bytes,source_input_sha256,result_sha256
uniform_n100000,first_fit,1,100000,199998,21,21,52876,52900,1196x1150,1196,1150,1196,1150,1024,991,32,6.4,26,21,10,37.9192237,0.0256098,29.1425903,0.0571632,2.4628762,0.0560147,6.141478,0.0193328,96768,97280,100464,100976,198256,6399936,35548800,217839188,217837844,1294585856,1294585856,0.643818,2315,38578176,102875808,102875136,71.019711,1540.803516,21,638.789875,186.42053999999996,35532672,1.4039,5084.377183,98919072,98918400,72.284538,215.730943,16041993,6399936,0,2337.0686979999996,217839188,115533600,217839188,14753044,6399936,21152980,d92f0fc2b3ad84b6b96770e805517d3d793e6cd0e9db7882d0fb24fec9fe77b8,054c4682efc4f0399947715058d4b756092b25dd687f4e120b3660d6c747b23a
complete_h14,first_fit,1,16384,32766,14,14,16384,16406,676x631,676,631,676,631,1024,991,32,6.4,26,14,10,16.9171287,0.0188247,13.5431877,0.0319526,0.6725537,0.0342573,2.5993908,0.0076486,35448,35792,37856,38200,73992,1048512,7349888,76966202,76965306,1293799424,1293799424,0.4950779999999999,1523,7987616,38764992,38764544,23.493335999999996,553.99623,14,103.109026,30.347786999999997,7340032,0.728517,1159.200916,36184512,36184064,26.841376999999998,26.04036,2015175,1048512,0,391.183583,76966202,23887136,76966202,1829630,1048512,2878142,4d3b489950233807ca379a59976b048701aaa38f6cdb7f80ae0a90cdd69e938d,14e3ed78a2f7de38c1eecdc0a8cd916cd899428ce95031e88e2836ccc10ed945
complete_h14,flat,1,16384,32766,14,1,32766,32796,936x911,936,911,936,911,1024,991,32,6.4,26,14,10,15.3883264,0.020821,13.3252204,0.085962,0.6502322,0.046831700000000004,1.2390341,0.0134196,51072,51416,52416,52760,104176,1048512,1049472,9580631,9580567,1294704640,1294704640,0.158722,111,1138176,3833888,3833856,6.960236,60.763222,1,97.935759,22.962587,1048512,0.777286,294.528598,3731488,3731456,5.679386,30.382542,2015144,1048512,0,66.394095,9580631,3410784,9580631,1829630,1048512,2878142,364a0de102b3a4c45fc5f7e8a3a11f94cac0786be560d1890cb66d2007725814,5ce4d9ee0303beecd79923ce05d4c586ee051b16252ce9ff2bd1884d562e0af0
complete_h14,pbc,1,16384,32766,14,21,4789,4802,364x343,364,343,364,343,1024,991,32,6.4,26,21,10,13.0349997,0.0308465,10.6125413,0.0224762,0.3930973,0.01859,1.9422681,0.0072462,28980,29492,30576,31088,60580,1048512,3226944,63516720,63515376,1310109696,1310109696,0.6149,2310,3516240,31310496,31309824,30.865605,448.85913199999993,21,196.260328,80.70046899999998,3218208,0.893458,1035.333248,29504160,29503488,29.441509000000007,59.580562,2699754,3145536,0,181.45524200000003,63516720,10487568,63516720,1829630,1048512,2878142,9b65bdcff9eea52052f3ab5c19130036433bbea63a977e89a0c41c9ff1fd180c,42b09eab2de4f05a691b6aae74c092e0d11f19bc2461a46c30043045d3592fcc
complete_h14,ab,1,16384,32766,14,14,2354,2360,260x236,260,236,260,236,1024,991,32,6.4,26,14,10,5.755416,0.0209651,4.6093932,0.0116732,0.1279862,0.0136002,0.948604,0.013954,13272,13616,14560,14904,28520,1048512,1057280,30460228,30459332,1309745152,1309745152,0.309846,1540,1150240,14909888,14909440,13.794019000000004,195.298323,14,109.829747,26.705622,1054592,0.793922,440.691506,13533632,13533184,9.919918000000001,26.741133,2015168,1048512,0,54.587155,30460228,3436160,30460228,1829630,1048512,2878142,bef523467ce3e08d926a9e1de8466669774f68650d761645a9a7b96803a5ff7a,608b18ae2506c1e148dab87fb8954bfdc2b432e376f7960b8780ccac72b184e5
uniform_n10000,first_fit,2,10000,19998,17,17,5646,5655,390x377,390,377,390,377,1024,991,32,6.4,26,17,10,10.2160871,0.0220279,8.1033985,0.0170808,0.3541392,0.0160939,1.6761295,0.0169103,25704,26120,26520,26936,53056,639936,3076320,54942696,54941608,1310359552,1310359552,0.5748449999999999,1849,3341520,27157024,27156480,26.990994999999998,360.8517310000001,17,72.493901,19.761667000000003,3071424,0.886931,677.41393,26251808,26251264,21.231054999999994,18.133737,1532015,639936,0,154.66394099999997,54942696,9998040,54942696,1423072,639936,2063008,a5e27ae1bc4c77ab45e2c7f084a9c67bc236786e677773a2f9e91cf821bc74bd,14515cc00f8f15dd69bcedd6cc332965494dc70b2f8ef0d06a08ea5dd186bdc4
uniform_n10000,flat,2,10000,19998,17,1,19998,20020,728x715,728,715,728,715,1024,991,32,6.4,26,17,10,14.973587,0.0229255,13.261838299999999,0.07227739999999999,0.4610454,0.0523101,1.079106,0.0172432,48756,49172,49504,49920,99092,639936,640640,7442681,7442617,1310314496,1310314496,0.052104,111,695968,2981920,2981888,1.488753,44.368792,1,63.843541,15.889737,639936,0.992508,187.729146,2928672,2928640,2.876959,19.409947,1531978,639936,0,37.03147,7442681,2082080,7442681,1423072,639936,2063008,916fd50ca66f2819b34ebad92b05631f5ec7f4aa060f846da5011e7c6da5ea09,667b72c3dd85ced4ad1e946b568ef2c640517ca52cbd8176f43c5026fa774ec1
uniform_n10000,pbc,2,10000,19998,17,26,2379,2380,260x238,260,238,260,238,1024,991,32,6.4,26,26,10,11.966636900000001,0.0414271,9.6837416,0.022054999999999998,0.3029718,0.019081,1.8661329,0.0230386,24960,25592,27040,27672,53264,639936,1980160,54986297,54984633,1310007296,1310007296,0.6467219999999998,2860,2163200,27689792,27688960,23.667666999999998,391.35286300000007,26,118.901623,47.503946,1979328,0.909285,745.23625,25346880,25346048,18.028787,36.606815,1946765,1919808,0,103.90786600000001,54986297,6435520,54986297,1423072,639936,2063008,e2c951cec124d2e0dd7e5f352323cb8969781106551c6790ea2d06833b87b862,1b4755ceee53b25a58976a6d48474e55ab669686c31a5fd402864e3a41392f8c
uniform_n10000,ab,2,10000,19998,17,17,1179,1183,182x169,182,169,182,169,1024,991,32,6.4,26,17,10,5.3740089,0.0326006,4.3336972,0.0117338,0.0846054,0.0094938,0.8798883,0.016455499999999998,11628,12044,12376,12792,24836,639936,643552,25975798,25974710,1310416896,1310416896,0.389464,1870,705432,12673568,12673024,10.830799,186.56129499999997,17,68.590619,18.750535000000003,641376,0.918341,348.785831,11768352,11767808,8.382498000000002,18.430044,1532008,639936,0,34.08024,25975798,2091544,25975798,1423072,639936,2063008,ef01ed77453c884022e1cb92d128ce0d5c5909dc88d5b3ae0edd852b38a81e0a,5b30c5aee70468a2d6478c9ac734e4e13f133867f5455ccb2455ff0266bf6314
complete_h10,ab,2,1024,2046,10,10,205,207,78x69,78,69,78,69,1024,991,32,6.4,26,10,10,1.3526782,0.0116428,1.179244,0.0037607,0.008981,0.0032866,0.1398789,0.0036852,2760,3008,3120,3368,6376,65472,66240,6138809,6138169,1310261248,1310261248,0.266346,1080,71760,3195200,3194880,3.5069769999999996,46.54931400000001,10,11.997874,4.337733,65600,0.757438,75.647242,2826560,2826240,1.864288,2.290373,115969,65472,0,3.7998949999999994,6138809,215280,6138809,106805,65472,172277,b746f3993a63ce93c57a08a39e75fdb3b676e920403b836410c9b4920031af90,56387a066d6854ed6abbb8c2b55f19c3f9144702c47ca3fe44cbc2ca29d9b6d7
complete_h10,pbc,2,1024,2046,10,15,446,450,130x90,130,90,130,90,1024,991,32,6.4,26,15,10,3.3932552,0.0227998,2.7058325,0.0122978,0.0431681,0.0150525,0.5797234,0.0086443,5400,5768,7800,8168,13936,65472,216000,13672057,13671097,1310117888,1310117888,0.345787,1620,234000,7987680,7987200,6.8790949999999995,88.07571899999999,15,16.867276,10.630434,214080,0.699787,144.888858,5530080,5529600,4.289394,3.766034,152677,196416,0,12.910164,13672057,702000,13672057,106805,65472,172277,0e776329f531025c0654ab72c98785e9bae94a664973d0af8c0424243f197987,9ffcf6cb40ea950071cfa6e40fe190e0746bf490d90994bc566a0432927785b6
complete_h10,flat,2,1024,2046,10,1,2046,2052,234x228,234,228,234,228,1024,991,32,6.4,26,10,10,2.875715,0.013242199999999999,2.6430936,0.0061882,0.0371602,0.0090969,0.1605964,0.0028119,9120,9368,9360,9608,18976,65472,65664,2008479,2008415,1310101504,1310101504,0.043331,110,71136,958496,958464,0.81206,14.373538,1,10.063207,2.262906,65472,1.22245,36.025046,933920,933888,0.918618,2.395189,115953,65472,0,3.595462,2008479,213408,2008479,106805,65472,172277,365c08a721246aa267a6dde62c7dff73e07004aeeda4f09db29c8a52611dd172,d7d39a6891bf2f4dc827d24a0061caa769b990c5490cd43879112679e066ab95
complete_h10,first_fit,2,1024,2046,10,10,1024,1029,182x147,182,147,182,147,1024,991,32,6.4,26,10,10,2.963546,0.0170485,2.3655853,0.0106684,0.056448200000000004,0.0107671,0.4941772,0.0043342,5880,6128,7280,7528,13656,65472,329280,13593538,13592898,1310093312,1310093312,0.30139099999999996,1082,356720,7455040,7454720,6.080822000000001,96.88904300000002,10,10.010083,4.757002999999999,327680,0.754482,143.70488,6021440,6021120,5.429094999999999,1.789969,115976,65472,0,17.43752,13593538,1070160,13593538,106805,65472,172277,d695c25a8f0a1063b5718803b8426ac5402cf4e6ba96364cd31b14320b4f2d6a,acd9b4e68adeeeb1b8133ce9d8c4208b35a02dcaddc187d2ed4fa462c2a5c84b
