case,method,repeat,target_id,warmup,ordinal,process_complete,included_in_performance,serialized_proof_wall_ms,route_ms,query_ms,query_roundtrip_ms,answer_ms,answer_roundtrip_ms,decode_ms,proof_verify_ms,query_matrix_payload_bytes,query_framed_bytes,answer_matrix_payload_bytes,answer_framed_bytes,online_framed_bytes,real_records,PIR_calls,root_independently_verified,three_negatives_independently_verified
uniform_n10000,first_fit,0,542,False,10,True,True,9.765004,0.016053,7.754588,0.018094,0.297138,0.01538,1.625532,0.01645,25704,26120,26520,26936,53056,13,17,True,True
uniform_n10000,first_fit,0,4109,False,11,True,True,10.675334,0.017265,8.31589,0.0193,0.416487,0.017342,1.865166,0.016449,25704,26120,26520,26936,53056,13,17,True,True
complete_h14,first_fit,0,9421,False,2,True,True,14.361571,0.017855,11.191429,0.024541,0.543189,0.030198,2.543165,0.005583,35448,35792,37856,38200,73992,14,14,True,True
complete_h14,first_fit,0,7832,False,3,True,True,13.126275,0.014264,10.136524,0.029434,0.573392,0.021917,2.322079,0.007206,35448,35792,37856,38200,73992,14,14,True,True
complete_h14,first_fit,0,9534,False,4,True,True,13.458325,0.015077,10.434984,0.024988,0.536542,0.026262,2.407488,0.007282,35448,35792,37856,38200,73992,14,14,True,True
complete_h14,first_fit,0,640,False,5,True,True,13.932898,0.022545,10.675014,0.023239,0.574849,0.020222,2.603797,0.00756,35448,35792,37856,38200,73992,14,14,True,True
complete_h14,first_fit,0,9368,False,6,True,True,14.51301,0.016315,11.052042,0.035054,0.889972,0.024064,2.48356,0.005943,35448,35792,37856,38200,73992,14,14,True,True
complete_h14,first_fit,0,6910,False,7,True,True,13.16823,0.01416,9.865636,0.028069,0.775796,0.021228,2.45055,0.006758,35448,35792,37856,38200,73992,14,14,True,True
complete_h14,first_fit,0,7304,False,8,True,True,12.863019,0.015038,9.57768,0.024573,0.756991,0.02354,2.451826,0.006254,35448,35792,37856,38200,73992,14,14,True,True
complete_h14,first_fit,0,1482,False,9,True,True,12.841939,0.014951,9.368771,0.027026,0.600051,0.020875,2.797931,0.006882,35448,35792,37856,38200,73992,14,14,True,True
complete_h14,first_fit,0,8104,False,10,True,True,13.678586,0.014837,10.520729,0.028046,0.675454,0.065262,2.339066,0.008619,35448,35792,37856,38200,73992,14,14,True,True
complete_h14,first_fit,0,13990,False,11,True,True,16.966695,0.017523,13.561531,0.02779,0.60948,0.071775,2.667015,0.006072,35448,35792,37856,38200,73992,14,14,True,True
complete_h14,pbc,0,9421,False,2,True,True,12.948212,0.028155,10.48681,0.023588,0.406632,0.022693,1.965543,0.007609,28980,29492,30576,31088,60580,14,21,True,True
complete_h14,pbc,0,7832,False,3,True,True,11.750762,0.029821,9.429797,0.019079,0.369308,0.016777,1.864228,0.005288,28980,29492,30576,31088,60580,14,21,True,True
complete_h14,pbc,0,9534,False,4,True,True,10.780418,0.023634,8.50331,0.020409,0.416996,0.01799,1.784694,0.006735,28980,29492,30576,31088,60580,14,21,True,True
complete_h14,pbc,0,640,False,5,True,True,11.458478,0.043507,8.639009,0.020607,0.313247,0.023399,2.405458,0.007323,28980,29492,30576,31088,60580,14,21,True,True
complete_h14,pbc,0,9368,False,6,True,True,11.889241,0.044564,9.334418,0.018488,0.40947,0.016059,2.053821,0.00705,28980,29492,30576,31088,60580,14,21,True,True
complete_h14,pbc,0,6910,False,7,True,True,10.822415,0.044754,8.299079,0.01826,0.381394,0.02875,2.03583,0.006909,28980,29492,30576,31088,60580,14,21,True,True
complete_h14,pbc,0,7304,False,8,True,True,10.76097,0.027526,8.452342,0.024534,0.506228,0.020402,1.716041,0.007648,28980,29492,30576,31088,60580,14,21,True,True
complete_h14,pbc,0,1482,False,9,True,True,13.989472,0.036292,11.247649,0.028468,0.476538,0.023646,2.160224,0.008378,28980,29492,30576,31088,60580,14,21,True,True
complete_h14,pbc,0,8104,False,10,True,True,15.897622,0.033396,13.159596,0.027345,0.437653,0.027941,2.175381,0.01045,28980,29492,30576,31088,60580,14,21,True,True
complete_h14,pbc,0,13990,False,11,True,True,17.228918,0.039977,14.799504,0.027115,0.436274,0.019618,1.882661,0.007455,28980,29492,30576,31088,60580,14,21,True,True
complete_h14,ab,0,9421,False,2,True,True,5.299046,0.022321,4.119716,0.00897,0.132815,0.009121,0.994096,0.00729,13272,13616,14560,14904,28520,14,14,True,True
complete_h14,ab,0,7832,False,3,True,True,5.276038,0.020005,4.184279,0.010337,0.126116,0.008212,0.904593,0.005395,13272,13616,14560,14904,28520,14,14,True,True
complete_h14,ab,0,9534,False,4,True,True,5.240477,0.020362,4.141974,0.014659,0.130292,0.008819,0.902397,0.01658,13272,13616,14560,14904,28520,14,14,True,True
complete_h14,ab,0,640,False,5,True,True,5.304215,0.017917,4.010872,0.009485,0.151982,0.008579,1.096395,0.004652,13272,13616,14560,14904,28520,14,14,True,True
complete_h14,ab,0,9368,False,6,True,True,5.549854,0.022648,4.015911,0.0106,0.112506,0.00863,1.367528,0.006854,13272,13616,14560,14904,28520,14,14,True,True
complete_h14,ab,0,6910,False,7,True,True,5.282094,0.021674,4.255373,0.009487,0.117886,0.00824,0.858439,0.00604,13272,13616,14560,14904,28520,14,14,True,True
complete_h14,ab,0,7304,False,8,True,True,4.925611,0.021783,3.905478,0.008632,0.118537,0.009137,0.854221,0.004363,13272,13616,14560,14904,28520,14,14,True,True
complete_h14,ab,0,1482,False,9,True,True,4.854386,0.01846,3.865788,0.00944,0.124816,0.007441,0.821366,0.004485,13272,13616,14560,14904,28520,14,14,True,True
complete_h14,ab,0,8104,False,10,True,True,5.850377,0.018764,4.789533,0.013507,0.131445,0.030932,0.848936,0.009837,13272,13616,14560,14904,28520,14,14,True,True
complete_h14,ab,0,13990,False,11,True,True,5.76186,0.02016,4.613259,0.014879,0.198,0.025825,0.87825,0.006492,13272,13616,14560,14904,28520,14,14,True,True
complete_h14,flat,0,9421,False,2,True,True,18.25249,0.021378,14.973214,0.076884,0.589856,0.063523,2.513278,0.006922,51072,51416,52416,52760,104176,14,14,True,True
complete_h14,flat,0,7832,False,3,True,True,15.269494,0.023348,13.437228,0.039793,0.541767,0.06745,1.139951,0.010619,51072,51416,52416,52760,104176,14,14,True,True
complete_h14,flat,0,9534,False,4,True,True,15.20475,0.020186,13.228898,0.06921,0.5993,0.027746,1.24664,0.006585,51072,51416,52416,52760,104176,14,14,True,True
complete_h14,flat,0,640,False,5,True,True,15.388267,0.02138,12.65623,0.037694,0.779717,0.082261,1.799044,0.005886,51072,51416,52416,52760,104176,14,14,True,True
complete_h14,flat,0,9368,False,6,True,True,14.631341,0.02156,12.860595,0.039346,0.586745,0.029824,1.082377,0.004806,51072,51416,52416,52760,104176,14,14,True,True
complete_h14,flat,0,6910,False,7,True,True,13.838329,0.019824,11.883302,0.033321,0.624011,0.048071,1.218504,0.00557,51072,51416,52416,52760,104176,14,14,True,True
complete_h14,flat,0,7304,False,8,True,True,18.774647,0.019571,16.356387,0.066093,1.081204,0.1194,1.121229,0.00529,51072,51416,52416,52760,104176,14,14,True,True
complete_h14,flat,0,1482,False,9,True,True,14.007858,0.022502,12.235155,0.032923,0.528552,0.051103,1.125637,0.007007,51072,51416,52416,52760,104176,14,14,True,True
complete_h14,flat,0,8104,False,10,True,True,14.391114,0.016957,12.541013,0.0351,0.534723,0.02591,1.226068,0.006377,51072,51416,52416,52760,104176,14,14,True,True
complete_h14,flat,0,13990,False,11,True,True,14.247763,0.019642,12.185791,0.069959,0.83828,0.031035,1.090665,0.006096,51072,51416,52416,52760,104176,14,14,True,True
prefix64_n10000,first_fit,0,3652,False,2,True,True,10.492775,0.026663,8.426601,0.019372,0.294028,0.017292,1.683196,0.01857,26112,26528,26520,26936,53464,12,17,True,True
prefix64_n10000,first_fit,0,3731,False,3,True,True,10.364389,0.01847,8.43556,0.01816,0.258788,0.013972,1.588604,0.014858,26112,26528,26520,26936,53464,14,17,True,True
prefix64_n10000,first_fit,0,1449,False,4,True,True,10.604391,0.017023,8.50413,0.018906,0.277763,0.014033,1.751973,0.015009,26112,26528,26520,26936,53464,14,17,True,True
prefix64_n10000,first_fit,0,8224,False,5,True,True,10.722274,0.01722,8.475974,0.020279,0.302426,0.018729,1.860339,0.021265,26112,26528,26520,26936,53464,11,17,True,True
prefix64_n10000,first_fit,0,320,False,6,True,True,11.746377,0.022052,9.838511,0.022329,0.267026,0.013724,1.56317,0.01463,26112,26528,26520,26936,53464,14,17,True,True
prefix64_n10000,first_fit,0,4684,False,7,True,True,9.988614,0.018222,8.111244,0.017342,0.272327,0.015325,1.533502,0.013885,26112,26528,26520,26936,53464,13,17,True,True
prefix64_n10000,first_fit,0,529,False,8,True,True,9.177635,0.015484,7.182665,0.017375,0.266537,0.029566,1.639359,0.014216,26112,26528,26520,26936,53464,13,17,True,True
prefix64_n10000,first_fit,0,3455,False,9,True,True,10.016389,0.015666,8.105403,0.017779,0.273352,0.01418,1.569321,0.014718,26112,26528,26520,26936,53464,12,17,True,True
prefix64_n10000,first_fit,0,9468,False,10,True,True,10.891122,0.015864,8.485941,0.020297,0.261462,0.01564,2.053446,0.018188,26112,26528,26520,26936,53464,15,17,True,True
prefix64_n10000,first_fit,0,1069,False,11,True,True,14.295602,0.01805,11.391066,0.024268,0.340601,0.020777,2.468097,0.024193,26112,26528,26520,26936,53464,14,17,True,True
prefix64_n10000,flat,0,3652,False,2,True,True,16.243019,0.019217,14.273886,0.152494,0.543814,0.075471,1.153397,0.018335,48756,49172,49504,49920,99092,12,17,True,True
prefix64_n10000,flat,0,3731,False,3,True,True,17.714798,0.030402,16.090188,0.061533,0.45228,0.100571,0.956779,0.017811,48756,49172,49504,49920,99092,14,17,True,True
prefix64_n10000,flat,0,1449,False,4,True,True,14.493877,0.023283,12.956395,0.034299,0.467521,0.028146,0.947145,0.031787,48756,49172,49504,49920,99092,14,17,True,True
