key,address,leaf_type,first_seen_block
zksync-era:0xf4847f0646f6ab5261e28ca28a5199283e2f99e0:account_leaf:nonce,0xf4847f0646f6ab5261e28ca28a5199283e2f99e0,nonce,69633471
zksync-era:0xf4847f0646f6ab5261e28ca28a5199283e2f99e0:account_leaf:code,0xf4847f0646f6ab5261e28ca28a5199283e2f99e0,code,69633471
zksync-era:0xf4847f0646f6ab5261e28ca28a5199283e2f99e0:account_leaf:storage_root,0xf4847f0646f6ab5261e28ca28a5199283e2f99e0,storage_root,69633471
zksync-era:0x4d9429246ea989c9cee203b43f6d1c7d83e3b8f8:account_leaf:balance,0x4d9429246ea989c9cee203b43f6d1c7d83e3b8f8,balance,69633471
zksync-era:0x4d9429246ea989c9cee203b43f6d1c7d83e3b8f8:account_leaf:nonce,0x4d9429246ea989c9cee203b43f6d1c7d83e3b8f8,nonce,69633471
zksync-era:0x4d9429246ea989c9cee203b43f6d1c7d83e3b8f8:account_leaf:code,0x4d9429246ea989c9cee203b43f6d1c7d83e3b8f8,code,69633471
zksync-era:0x4d9429246ea989c9cee203b43f6d1c7d83e3b8f8:account_leaf:storage_root,0x4d9429246ea989c9cee203b43f6d1c7d83e3b8f8,storage_root,69633471
zksync-era:0xc735ab4219cf86364e50e52af765a6bd60deaac4:account_leaf:balance,0xc735ab4219cf86364e50e52af765a6bd60deaac4,balance,69633671
zksync-era:0xc735ab4219cf86364e50e52af765a6bd60deaac4:account_leaf:nonce,0xc735ab4219cf86364e50e52af765a6bd60deaac4,nonce,69633671
zksync-era:0xc735ab4219cf86364e50e52af765a6bd60deaac4:account_leaf:code,0xc735ab4219cf86364e50e52af765a6bd60deaac4,code,69633671
zksync-era:0xc735ab4219cf86364e50e52af765a6bd60deaac4:account_leaf:storage_root,0xc735ab4219cf86364e50e52af765a6bd60deaac4,storage_root,69633671
zksync-era:0xe0b015e54d54fc84a6cb9b666099c46ade9335ff:account_leaf:balance,0xe0b015e54d54fc84a6cb9b666099c46ade9335ff,balance,69634071
zksync-era:0xe0b015e54d54fc84a6cb9b666099c46ade9335ff:account_leaf:nonce,0xe0b015e54d54fc84a6cb9b666099c46ade9335ff,nonce,69634071
zksync-era:0xe0b015e54d54fc84a6cb9b666099c46ade9335ff:account_leaf:code,0xe0b015e54d54fc84a6cb9b666099c46ade9335ff,code,69634071
zksync-era:0xe0b015e54d54fc84a6cb9b666099c46ade9335ff:account_leaf:storage_root,0xe0b015e54d54fc84a6cb9b666099c46ade9335ff,storage_root,69634071
zksync-era:0xf7bac63fc7ceacf0589f25454ecf5c2ce904997c:account_leaf:balance,0xf7bac63fc7ceacf0589f25454ecf5c2ce904997c,balance,69634071
zksync-era:0xf7bac63fc7ceacf0589f25454ecf5c2ce904997c:account_leaf:nonce,0xf7bac63fc7ceacf0589f25454ecf5c2ce904997c,nonce,69634071
zksync-era:0xf7bac63fc7ceacf0589f25454ecf5c2ce904997c:account_leaf:code,0xf7bac63fc7ceacf0589f25454ecf5c2ce904997c,code,69634071
zksync-era:0xf7bac63fc7ceacf0589f25454ecf5c2ce904997c:account_leaf:storage_root,0xf7bac63fc7ceacf0589f25454ecf5c2ce904997c,storage_root,69634071
zksync-era:0xdf39d9177069664f9bdba6053dc3d1cc7aacbf6b:account_leaf:balance,0xdf39d9177069664f9bdba6053dc3d1cc7aacbf6b,balance,69634271
zksync-era:0xdf39d9177069664f9bdba6053dc3d1cc7aacbf6b:account_leaf:nonce,0xdf39d9177069664f9bdba6053dc3d1cc7aacbf6b,nonce,69634271
zksync-era:0xdf39d9177069664f9bdba6053dc3d1cc7aacbf6b:account_leaf:code,0xdf39d9177069664f9bdba6053dc3d1cc7aacbf6b,code,69634271
zksync-era:0xdf39d9177069664f9bdba6053dc3d1cc7aacbf6b:account_leaf:storage_root,0xdf39d9177069664f9bdba6053dc3d1cc7aacbf6b,storage_root,69634271
zksync-era:0x1fa66e2b38d0cc496ec51f81c3e05e6a6708986f:account_leaf:balance,0x1fa66e2b38d0cc496ec51f81c3e05e6a6708986f,balance,69634271
zksync-era:0x1fa66e2b38d0cc496ec51f81c3e05e6a6708986f:account_leaf:nonce,0x1fa66e2b38d0cc496ec51f81c3e05e6a6708986f,nonce,69634271
zksync-era:0x1fa66e2b38d0cc496ec51f81c3e05e6a6708986f:account_leaf:code,0x1fa66e2b38d0cc496ec51f81c3e05e6a6708986f,code,69634271
zksync-era:0x1fa66e2b38d0cc496ec51f81c3e05e6a6708986f:account_leaf:storage_root,0x1fa66e2b38d0cc496ec51f81c3e05e6a6708986f,storage_root,69634271
zksync-era:0xa84fd90d8640fa63d194601e0b2d1c9094297083:account_leaf:balance,0xa84fd90d8640fa63d194601e0b2d1c9094297083,balance,69634471
zksync-era:0xa84fd90d8640fa63d194601e0b2d1c9094297083:account_leaf:nonce,0xa84fd90d8640fa63d194601e0b2d1c9094297083,nonce,69634471
zksync-era:0xa84fd90d8640fa63d194601e0b2d1c9094297083:account_leaf:code,0xa84fd90d8640fa63d194601e0b2d1c9094297083,code,69634471
zksync-era:0xa84fd90d8640fa63d194601e0b2d1c9094297083:account_leaf:storage_root,0xa84fd90d8640fa63d194601e0b2d1c9094297083,storage_root,69634471
zksync-era:0x8a7eed6e1afe84265a872fe3e22c8a0458939426:account_leaf:balance,0x8a7eed6e1afe84265a872fe3e22c8a0458939426,balance,69634671
zksync-era:0x8a7eed6e1afe84265a872fe3e22c8a0458939426:account_leaf:nonce,0x8a7eed6e1afe84265a872fe3e22c8a0458939426,nonce,69634671
zksync-era:0x8a7eed6e1afe84265a872fe3e22c8a0458939426:account_leaf:code,0x8a7eed6e1afe84265a872fe3e22c8a0458939426,code,69634671
zksync-era:0x8a7eed6e1afe84265a872fe3e22c8a0458939426:account_leaf:storage_root,0x8a7eed6e1afe84265a872fe3e22c8a0458939426,storage_root,69634671
zksync-era:0x8aa5222ba5f223b381ebb5160c817adef12f3b85:account_leaf:balance,0x8aa5222ba5f223b381ebb5160c817adef12f3b85,balance,69634671
zksync-era:0x8aa5222ba5f223b381ebb5160c817adef12f3b85:account_leaf:nonce,0x8aa5222ba5f223b381ebb5160c817adef12f3b85,nonce,69634671
zksync-era:0x8aa5222ba5f223b381ebb5160c817adef12f3b85:account_leaf:code,0x8aa5222ba5f223b381ebb5160c817adef12f3b85,code,69634671
zksync-era:0x8aa5222ba5f223b381ebb5160c817adef12f3b85:account_leaf:storage_root,0x8aa5222ba5f223b381ebb5160c817adef12f3b85,storage_root,69634671
zksync-era:0xa55aad155f5f078a05d48a357ab840f41b766c02:account_leaf:balance,0xa55aad155f5f078a05d48a357ab840f41b766c02,balance,69634871
zksync-era:0xa55aad155f5f078a05d48a357ab840f41b766c02:account_leaf:nonce,0xa55aad155f5f078a05d48a357ab840f41b766c02,nonce,69634871
zksync-era:0xa55aad155f5f078a05d48a357ab840f41b766c02:account_leaf:code,0xa55aad155f5f078a05d48a357ab840f41b766c02,code,69634871
