key,address,leaf_type,leaf_type_name,first_seen_block
polygon-zkevm:0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb:SMT_KEY:4,0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb,4,code_hash_length,31896796
polygon-zkevm:0x7959ebc9b52b7f0cd61a8a605fc69f42f2cb6da5:SMT_KEY:0,0x7959ebc9b52b7f0cd61a8a605fc69f42f2cb6da5,0,balance,31896796
polygon-zkevm:0x7959ebc9b52b7f0cd61a8a605fc69f42f2cb6da5:SMT_KEY:1,0x7959ebc9b52b7f0cd61a8a605fc69f42f2cb6da5,1,nonce,31896796
polygon-zkevm:0x7959ebc9b52b7f0cd61a8a605fc69f42f2cb6da5:SMT_KEY:2,0x7959ebc9b52b7f0cd61a8a605fc69f42f2cb6da5,2,code_hash,31896796
polygon-zkevm:0x7959ebc9b52b7f0cd61a8a605fc69f42f2cb6da5:SMT_KEY:4,0x7959ebc9b52b7f0cd61a8a605fc69f42f2cb6da5,4,code_hash_length,31896796
polygon-zkevm:0x7915c217654a80363737545ad05daebf2fab9568:SMT_KEY:0,0x7915c217654a80363737545ad05daebf2fab9568,0,balance,31896823
polygon-zkevm:0x7915c217654a80363737545ad05daebf2fab9568:SMT_KEY:1,0x7915c217654a80363737545ad05daebf2fab9568,1,nonce,31896823
polygon-zkevm:0x7915c217654a80363737545ad05daebf2fab9568:SMT_KEY:2,0x7915c217654a80363737545ad05daebf2fab9568,2,code_hash,31896823
polygon-zkevm:0x7915c217654a80363737545ad05daebf2fab9568:SMT_KEY:4,0x7915c217654a80363737545ad05daebf2fab9568,4,code_hash_length,31896823
polygon-zkevm:0xc00fc2ec5099db4850e4035d1537f757d1744485:SMT_KEY:0,0xc00fc2ec5099db4850e4035d1537f757d1744485,0,balance,31896867
polygon-zkevm:0xc00fc2ec5099db4850e4035d1537f757d1744485:SMT_KEY:1,0xc00fc2ec5099db4850e4035d1537f757d1744485,1,nonce,31896867
polygon-zkevm:0xc00fc2ec5099db4850e4035d1537f757d1744485:SMT_KEY:2,0xc00fc2ec5099db4850e4035d1537f757d1744485,2,code_hash,31896867
polygon-zkevm:0xc00fc2ec5099db4850e4035d1537f757d1744485:SMT_KEY:4,0xc00fc2ec5099db4850e4035d1537f757d1744485,4,code_hash_length,31896867
