key,address,leaf_type,leaf_type_name,first_seen_block
polygon-zkevm:0x5fe5256a5dd4e30ad3106f97ac101b1d3b4c1317:SMT_KEY:1,0x5fe5256a5dd4e30ad3106f97ac101b1d3b4c1317,1,nonce,22049045
polygon-zkevm:0x5fe5256a5dd4e30ad3106f97ac101b1d3b4c1317:SMT_KEY:2,0x5fe5256a5dd4e30ad3106f97ac101b1d3b4c1317,2,code_hash,22049045
polygon-zkevm:0x5fe5256a5dd4e30ad3106f97ac101b1d3b4c1317:SMT_KEY:4,0x5fe5256a5dd4e30ad3106f97ac101b1d3b4c1317,4,code_hash_length,22049045
polygon-zkevm:0x256efafed786d24163bedf15d583ea5dbdb4757c:SMT_KEY:0,0x256efafed786d24163bedf15d583ea5dbdb4757c,0,balance,22049065
polygon-zkevm:0x256efafed786d24163bedf15d583ea5dbdb4757c:SMT_KEY:1,0x256efafed786d24163bedf15d583ea5dbdb4757c,1,nonce,22049065
polygon-zkevm:0x256efafed786d24163bedf15d583ea5dbdb4757c:SMT_KEY:2,0x256efafed786d24163bedf15d583ea5dbdb4757c,2,code_hash,22049065
polygon-zkevm:0x256efafed786d24163bedf15d583ea5dbdb4757c:SMT_KEY:4,0x256efafed786d24163bedf15d583ea5dbdb4757c,4,code_hash_length,22049065
polygon-zkevm:0x415669455d93b755efe7f20ef6f1dbdce7f68f7d:SMT_KEY:0,0x415669455d93b755efe7f20ef6f1dbdce7f68f7d,0,balance,22049065
polygon-zkevm:0x415669455d93b755efe7f20ef6f1dbdce7f68f7d:SMT_KEY:1,0x415669455d93b755efe7f20ef6f1dbdce7f68f7d,1,nonce,22049065
polygon-zkevm:0x415669455d93b755efe7f20ef6f1dbdce7f68f7d:SMT_KEY:2,0x415669455d93b755efe7f20ef6f1dbdce7f68f7d,2,code_hash,22049065
polygon-zkevm:0x415669455d93b755efe7f20ef6f1dbdce7f68f7d:SMT_KEY:4,0x415669455d93b755efe7f20ef6f1dbdce7f68f7d,4,code_hash_length,22049065
polygon-zkevm:0xb91d3060c90aac7c4c706aef2b37997b3b2a1dcf:SMT_KEY:0,0xb91d3060c90aac7c4c706aef2b37997b3b2a1dcf,0,balance,22049260
polygon-zkevm:0xb91d3060c90aac7c4c706aef2b37997b3b2a1dcf:SMT_KEY:1,0xb91d3060c90aac7c4c706aef2b37997b3b2a1dcf,1,nonce,22049260
