key,address,leaf_type,first_seen_block
zksync-era:0xb4ab2ff34fadc774aff45f1c4566cb5e16bd4867:account_leaf:storage_root,0xb4ab2ff34fadc774aff45f1c4566cb5e16bd4867,storage_root,70084862
zksync-era:0xcade0af5b1ca22524a75b6678e0406722283d5e3:account_leaf:balance,0xcade0af5b1ca22524a75b6678e0406722283d5e3,balance,70084862
zksync-era:0xcade0af5b1ca22524a75b6678e0406722283d5e3:account_leaf:nonce,0xcade0af5b1ca22524a75b6678e0406722283d5e3,nonce,70084862
zksync-era:0xcade0af5b1ca22524a75b6678e0406722283d5e3:account_leaf:code,0xcade0af5b1ca22524a75b6678e0406722283d5e3,code,70084862
zksync-era:0xcade0af5b1ca22524a75b6678e0406722283d5e3:account_leaf:storage_root,0xcade0af5b1ca22524a75b6678e0406722283d5e3,storage_root,70084862
zksync-era:0x90fd529286f283b2fc5fc9b6da5ee917cf0a40f7:account_leaf:balance,0x90fd529286f283b2fc5fc9b6da5ee917cf0a40f7,balance,70085462
zksync-era:0x90fd529286f283b2fc5fc9b6da5ee917cf0a40f7:account_leaf:nonce,0x90fd529286f283b2fc5fc9b6da5ee917cf0a40f7,nonce,70085462
zksync-era:0x90fd529286f283b2fc5fc9b6da5ee917cf0a40f7:account_leaf:code,0x90fd529286f283b2fc5fc9b6da5ee917cf0a40f7,code,70085462
zksync-era:0x90fd529286f283b2fc5fc9b6da5ee917cf0a40f7:account_leaf:storage_root,0x90fd529286f283b2fc5fc9b6da5ee917cf0a40f7,storage_root,70085462
zksync-era:0xccc88a9d1b4ed6b0eaba998850414b24f1c315be:account_leaf:balance,0xccc88a9d1b4ed6b0eaba998850414b24f1c315be,balance,70085662
zksync-era:0xccc88a9d1b4ed6b0eaba998850414b24f1c315be:account_leaf:nonce,0xccc88a9d1b4ed6b0eaba998850414b24f1c315be,nonce,70085662
zksync-era:0xccc88a9d1b4ed6b0eaba998850414b24f1c315be:account_leaf:code,0xccc88a9d1b4ed6b0eaba998850414b24f1c315be,code,70085662
zksync-era:0xccc88a9d1b4ed6b0eaba998850414b24f1c315be:account_leaf:storage_root,0xccc88a9d1b4ed6b0eaba998850414b24f1c315be,storage_root,70085662
zksync-era:0x8f106b4c860bb3d4a411b9bdc756eb1615ff47e2:account_leaf:balance,0x8f106b4c860bb3d4a411b9bdc756eb1615ff47e2,balance,70085662
zksync-era:0x8f106b4c860bb3d4a411b9bdc756eb1615ff47e2:account_leaf:nonce,0x8f106b4c860bb3d4a411b9bdc756eb1615ff47e2,nonce,70085662
zksync-era:0x8f106b4c860bb3d4a411b9bdc756eb1615ff47e2:account_leaf:code,0x8f106b4c860bb3d4a411b9bdc756eb1615ff47e2,code,70085662
zksync-era:0x8f106b4c860bb3d4a411b9bdc756eb1615ff47e2:account_leaf:storage_root,0x8f106b4c860bb3d4a411b9bdc756eb1615ff47e2,storage_root,70085662
zksync-era:0x0e5d1bcf3ccd9b71c82b2faf4f3c20bedd4991db:account_leaf:balance,0x0e5d1bcf3ccd9b71c82b2faf4f3c20bedd4991db,balance,70085862
zksync-era:0x0e5d1bcf3ccd9b71c82b2faf4f3c20bedd4991db:account_leaf:nonce,0x0e5d1bcf3ccd9b71c82b2faf4f3c20bedd4991db,nonce,70085862
zksync-era:0x0e5d1bcf3ccd9b71c82b2faf4f3c20bedd4991db:account_leaf:code,0x0e5d1bcf3ccd9b71c82b2faf4f3c20bedd4991db,code,70085862
zksync-era:0x0e5d1bcf3ccd9b71c82b2faf4f3c20bedd4991db:account_leaf:storage_root,0x0e5d1bcf3ccd9b71c82b2faf4f3c20bedd4991db,storage_root,70085862
zksync-era:0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e:account_leaf:balance,0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e,balance,70085862
zksync-era:0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e:account_leaf:nonce,0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e,nonce,70085862
zksync-era:0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e:account_leaf:code,0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e,code,70085862
zksync-era:0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e:account_leaf:storage_root,0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e,storage_root,70085862
zksync-era:0x89443df793f7f6d2d8c2da107aa8006173ffadcf:account_leaf:balance,0x89443df793f7f6d2d8c2da107aa8006173ffadcf,balance,70086262
zksync-era:0x89443df793f7f6d2d8c2da107aa8006173ffadcf:account_leaf:nonce,0x89443df793f7f6d2d8c2da107aa8006173ffadcf,nonce,70086262
zksync-era:0x89443df793f7f6d2d8c2da107aa8006173ffadcf:account_leaf:code,0x89443df793f7f6d2d8c2da107aa8006173ffadcf,code,70086262
zksync-era:0x89443df793f7f6d2d8c2da107aa8006173ffadcf:account_leaf:storage_root,0x89443df793f7f6d2d8c2da107aa8006173ffadcf,storage_root,70086262
zksync-era:0xb8ff877ed78ba520ece21b1de7843a8a57ca47cb:account_leaf:balance,0xb8ff877ed78ba520ece21b1de7843a8a57ca47cb,balance,70086462
zksync-era:0xb8ff877ed78ba520ece21b1de7843a8a57ca47cb:account_leaf:nonce,0xb8ff877ed78ba520ece21b1de7843a8a57ca47cb,nonce,70086462
zksync-era:0xb8ff877ed78ba520ece21b1de7843a8a57ca47cb:account_leaf:code,0xb8ff877ed78ba520ece21b1de7843a8a57ca47cb,code,70086462
zksync-era:0xb8ff877ed78ba520ece21b1de7843a8a57ca47cb:account_leaf:storage_root,0xb8ff877ed78ba520ece21b1de7843a8a57ca47cb,storage_root,70086462
zksync-era:0xb183c2b91cf76cad13602b32ada2fd273f19009c:account_leaf:balance,0xb183c2b91cf76cad13602b32ada2fd273f19009c,balance,70086462
zksync-era:0xb183c2b91cf76cad13602b32ada2fd273f19009c:account_leaf:nonce,0xb183c2b91cf76cad13602b32ada2fd273f19009c,nonce,70086462
zksync-era:0xb183c2b91cf76cad13602b32ada2fd273f19009c:account_leaf:code,0xb183c2b91cf76cad13602b32ada2fd273f19009c,code,70086462
zksync-era:0xb183c2b91cf76cad13602b32ada2fd273f19009c:account_leaf:storage_root,0xb183c2b91cf76cad13602b32ada2fd273f19009c,storage_root,70086462
zksync-era:0x76c9cf548b4179f8901cda1f8623568b58215e62:account_leaf:balance,0x76c9cf548b4179f8901cda1f8623568b58215e62,balance,70086662
zksync-era:0x76c9cf548b4179f8901cda1f8623568b58215e62:account_leaf:nonce,0x76c9cf548b4179f8901cda1f8623568b58215e62,nonce,70086662
zksync-era:0x76c9cf548b4179f8901cda1f8623568b58215e62:account_leaf:code,0x76c9cf548b4179f8901cda1f8623568b58215e62,code,70086662
zksync-era:0x76c9cf548b4179f8901cda1f8623568b58215e62:account_leaf:storage_root,0x76c9cf548b4179f8901cda1f8623568b58215e62,storage_root,70086662
zksync-era:0x45bf2912dc82565dbda324afc47900ee02a0e3ef:account_leaf:balance,0x45bf2912dc82565dbda324afc47900ee02a0e3ef,balance,70086662
zksync-era:0x45bf2912dc82565dbda324afc47900ee02a0e3ef:account_leaf:nonce,0x45bf2912dc82565dbda324afc47900ee02a0e3ef,nonce,70086662
zksync-era:0x45bf2912dc82565dbda324afc47900ee02a0e3ef:account_leaf:code,0x45bf2912dc82565dbda324afc47900ee02a0e3ef,code,70086662
zksync-era:0x45bf2912dc82565dbda324afc47900ee02a0e3ef:account_leaf:storage_root,0x45bf2912dc82565dbda324afc47900ee02a0e3ef,storage_root,70086662
zksync-era:0x9b2af393a2fab36c75efda9d0c57522d4a7024f7:account_leaf:balance,0x9b2af393a2fab36c75efda9d0c57522d4a7024f7,balance,70086862
zksync-era:0x9b2af393a2fab36c75efda9d0c57522d4a7024f7:account_leaf:nonce,0x9b2af393a2fab36c75efda9d0c57522d4a7024f7,nonce,70086862
zksync-era:0x9b2af393a2fab36c75efda9d0c57522d4a7024f7:account_leaf:code,0x9b2af393a2fab36c75efda9d0c57522d4a7024f7,code,70086862
zksync-era:0x9b2af393a2fab36c75efda9d0c57522d4a7024f7:account_leaf:storage_root,0x9b2af393a2fab36c75efda9d0c57522d4a7024f7,storage_root,70086862
zksync-era:0x9522ab080dd3fa8fbc7e0b0fafa269fe9dbb7439:account_leaf:balance,0x9522ab080dd3fa8fbc7e0b0fafa269fe9dbb7439,balance,70086862
zksync-era:0x9522ab080dd3fa8fbc7e0b0fafa269fe9dbb7439:account_leaf:nonce,0x9522ab080dd3fa8fbc7e0b0fafa269fe9dbb7439,nonce,70086862
zksync-era:0x9522ab080dd3fa8fbc7e0b0fafa269fe9dbb7439:account_leaf:code,0x9522ab080dd3fa8fbc7e0b0fafa269fe9dbb7439,code,70086862
zksync-era:0x9522ab080dd3fa8fbc7e0b0fafa269fe9dbb7439:account_leaf:storage_root,0x9522ab080dd3fa8fbc7e0b0fafa269fe9dbb7439,storage_root,70086862
zksync-era:0x339d413ccefd986b1b3647a9cfa9cbbe70a30749:account_leaf:balance,0x339d413ccefd986b1b3647a9cfa9cbbe70a30749,balance,70087062
zksync-era:0x339d413ccefd986b1b3647a9cfa9cbbe70a30749:account_leaf:nonce,0x339d413ccefd986b1b3647a9cfa9cbbe70a30749,nonce,70087062
zksync-era:0x339d413ccefd986b1b3647a9cfa9cbbe70a30749:account_leaf:code,0x339d413ccefd986b1b3647a9cfa9cbbe70a30749,code,70087062
zksync-era:0x339d413ccefd986b1b3647a9cfa9cbbe70a30749:account_leaf:storage_root,0x339d413ccefd986b1b3647a9cfa9cbbe70a30749,storage_root,70087062
zksync-era:0x2b79f3c2ee059e465a24bf5a2f4fe989546053b1:account_leaf:balance,0x2b79f3c2ee059e465a24bf5a2f4fe989546053b1,balance,70087062
zksync-era:0x2b79f3c2ee059e465a24bf5a2f4fe989546053b1:account_leaf:nonce,0x2b79f3c2ee059e465a24bf5a2f4fe989546053b1,nonce,70087062
zksync-era:0x2b79f3c2ee059e465a24bf5a2f4fe989546053b1:account_leaf:code,0x2b79f3c2ee059e465a24bf5a2f4fe989546053b1,code,70087062
zksync-era:0x2b79f3c2ee059e465a24bf5a2f4fe989546053b1:account_leaf:storage_root,0x2b79f3c2ee059e465a24bf5a2f4fe989546053b1,storage_root,70087062
zksync-era:0xa60c6a02b3dab3c1e1f9b56d39c1f2c3c872dfa2:account_leaf:balance,0xa60c6a02b3dab3c1e1f9b56d39c1f2c3c872dfa2,balance,70087262
zksync-era:0xa60c6a02b3dab3c1e1f9b56d39c1f2c3c872dfa2:account_leaf:nonce,0xa60c6a02b3dab3c1e1f9b56d39c1f2c3c872dfa2,nonce,70087262
zksync-era:0xa60c6a02b3dab3c1e1f9b56d39c1f2c3c872dfa2:account_leaf:code,0xa60c6a02b3dab3c1e1f9b56d39c1f2c3c872dfa2,code,70087262
zksync-era:0xa60c6a02b3dab3c1e1f9b56d39c1f2c3c872dfa2:account_leaf:storage_root,0xa60c6a02b3dab3c1e1f9b56d39c1f2c3c872dfa2,storage_root,70087262
zksync-era:0x7c168119bf754269523ac9728aeeba8e4eee6100:account_leaf:balance,0x7c168119bf754269523ac9728aeeba8e4eee6100,balance,70087262
zksync-era:0x7c168119bf754269523ac9728aeeba8e4eee6100:account_leaf:nonce,0x7c168119bf754269523ac9728aeeba8e4eee6100,nonce,70087262
zksync-era:0x7c168119bf754269523ac9728aeeba8e4eee6100:account_leaf:code,0x7c168119bf754269523ac9728aeeba8e4eee6100,code,70087262
zksync-era:0x7c168119bf754269523ac9728aeeba8e4eee6100:account_leaf:storage_root,0x7c168119bf754269523ac9728aeeba8e4eee6100,storage_root,70087262
zksync-era:0x2aee50e2c43845e038642de2a3bedc234ea8823a:account_leaf:balance,0x2aee50e2c43845e038642de2a3bedc234ea8823a,balance,70087462
