case,method,repeat,target_id,serialized_proof_wall_ms,route_ms,query_ms,query_roundtrip_ms,answer_ms,answer_roundtrip_ms,decode_ms,proof_verify_ms,online_framed_bytes,real_records,valid_root_independently_verified
complete_h10,ab,2,513,323.940669,0.005997,2.841711,0.233438,319.799734,0.205947,0.823618,0.027034,1048955,10,True
complete_h10,ab,2,489,332.636478,0.00734,3.174988,0.23951,328.05903,0.136683,0.990751,0.024664,1048955,10,True
complete_h10,ab,2,529,327.420325,0.006023,3.462719,0.267433,322.606724,0.128457,0.919237,0.025916,1048955,10,True
complete_h10,ab,2,187,329.495908,0.009433,3.064118,0.23842,324.88635,0.138749,1.127354,0.027128,1048955,10,True
complete_h10,ab,2,396,323.358428,0.008524,3.206643,0.465907,318.261066,0.107542,1.149206,0.153975,1048955,10,True
complete_h10,ab,2,1009,324.445397,0.006559,3.173901,0.18665,320.060911,0.111853,0.875846,0.025858,1048955,10,True
complete_h10,ab,2,71,319.973928,0.007406,2.856794,0.26756,315.776111,0.1079,0.928953,0.02501,1048955,10,True
complete_h10,ab,2,66,323.620354,0.006311,2.946397,0.237137,319.450708,0.104126,0.847901,0.024528,1048955,10,True
complete_h10,ab,2,67,340.153213,0.006192,2.708118,0.182799,336.277769,0.094045,0.856793,0.024695,1048955,10,True
complete_h10,ab,2,585,334.070892,0.005966,2.99366,0.195939,329.74836,0.118364,0.97911,0.025777,1048955,10,True
complete_h14,ab,2,15000,317.362241,0.011752,3.29563,0.207387,312.672757,0.108876,1.036971,0.025615,1048955,14,True
complete_h14,ab,2,2138,308.476299,0.014183,2.654537,0.199769,304.691903,0.104646,0.781731,0.026363,1048955,14,True
complete_h14,ab,2,11115,320.087878,0.012842,2.599032,0.183429,316.313112,0.096105,0.854228,0.026089,1048955,14,True
complete_h14,ab,2,6910,328.332997,0.013373,3.244127,0.232264,323.612201,0.177722,1.021733,0.028132,1048955,14,True
complete_h14,ab,2,7462,340.435155,0.014953,3.521881,0.294555,335.632713,0.117625,0.824873,0.025461,1048955,14,True
complete_h14,ab,2,9534,312.681248,0.012964,2.652825,0.274774,308.565362,0.099207,0.997376,0.073569,1048955,14,True
complete_h14,ab,2,6346,317.618189,0.013694,2.666176,0.211574,313.824305,0.084782,0.789304,0.024315,1048955,14,True
complete_h14,ab,2,12050,319.548213,0.011145,3.107195,0.249953,314.534973,0.106699,1.508843,0.025309,1048955,14,True
complete_h14,ab,2,8219,319.687022,0.014265,2.909463,0.1783,315.617408,0.09587,0.843464,0.02498,1048955,14,True
complete_h14,ab,2,640,315.593837,0.012757,2.539818,0.208715,311.45505,0.107914,1.237085,0.028303,1048955,14,True
complete_h14,pbc,2,15000,458.199533,0.038926,5.807937,0.428558,451.4161,0.06038,0.420663,0.02328,1311220,14,True
complete_h14,pbc,2,2138,471.692963,0.035647,5.040612,0.425132,465.697801,0.051577,0.414075,0.024318,1311220,14,True
complete_h14,pbc,2,11115,456.146946,0.035663,4.865149,0.391386,450.102344,0.24453,0.479538,0.024193,1311220,14,True
complete_h14,pbc,2,6910,478.098726,0.03383,5.224496,0.368444,471.924004,0.055492,0.415874,0.071981,1311220,14,True
complete_h14,pbc,2,7462,462.13636,0.090669,4.876907,0.386658,456.27118,0.055285,0.428046,0.02441,1311220,14,True
complete_h14,pbc,2,9534,469.026504,0.033703,4.424271,0.420434,463.330545,0.048818,0.738601,0.025467,1311220,14,True
complete_h14,pbc,2,6346,450.476075,0.03484,4.511659,0.325979,444.989557,0.056501,0.527247,0.026706,1311220,14,True
complete_h14,pbc,2,12050,477.98832,0.037977,5.758406,0.410942,471.27786,0.056345,0.418756,0.024609,1311220,14,True
complete_h14,pbc,2,8219,454.22028,0.036254,5.02199,0.346237,448.292923,0.055731,0.437543,0.025517,1311220,14,True
complete_h14,pbc,2,640,471.901744,0.035799,4.565481,0.613323,465.826389,0.075318,0.74956,0.031243,1311220,14,True
complete_h14,treepir,2,15000,356.207586,0.01101,2.648668,0.497953,352.038487,0.101548,0.860875,0.045387,1048955,14,True
complete_h14,treepir,2,2138,313.791815,0.013063,3.069675,0.464044,309.326549,0.101594,0.787708,0.025142,1048955,14,True
complete_h14,treepir,2,11115,317.838018,0.016225,3.09165,0.24492,313.43898,0.101386,0.916272,0.024565,1048955,14,True
complete_h14,treepir,2,6910,312.066689,0.013715,3.06705,0.192622,307.799187,0.164272,0.801727,0.024473,1048955,14,True
complete_h14,treepir,2,7462,311.581923,0.012516,2.896633,0.221973,307.529589,0.110435,0.782696,0.024103,1048955,14,True
complete_h14,treepir,2,9534,323.639924,0.012377,3.007455,0.21467,319.411029,0.10185,0.863699,0.025584,1048955,14,True
complete_h14,treepir,2,6346,329.719629,0.012737,3.201478,0.273881,325.2897,0.12063,0.791382,0.025564,1048955,14,True
complete_h14,treepir,2,12050,317.895759,0.013216,2.743541,0.217117,313.932011,0.110359,0.851827,0.024803,1048955,14,True
complete_h14,treepir,2,8219,315.807332,0.01202,3.173926,0.223784,311.51602,0.079565,0.771922,0.026855,1048955,14,True
complete_h14,treepir,2,640,308.860649,0.01387,2.735066,0.235262,304.953895,0.096515,0.79539,0.026649,1048955,14,True
uniform_n1000,ab,2,565,304.672892,0.006639,2.55458,0.182334,300.910402,0.109586,0.848614,0.057418,1048955,11,True
uniform_n1000,ab,2,92,303.132146,0.005937,2.930883,0.209997,299.028279,0.096598,0.801199,0.055905,1048955,10,True
uniform_n1000,ab,2,514,299.540191,0.007129,2.759561,0.240111,295.241631,0.185927,1.032981,0.06834,1048955,11,True
uniform_n1000,ab,2,666,313.977629,0.006406,4.512975,0.284152,308.121221,0.107674,0.882419,0.058521,1048955,10,True
uniform_n1000,ab,2,468,303.437984,0.006669,2.670734,0.212349,298.932459,0.114346,1.437428,0.060268,1048955,11,True
uniform_n1000,ab,2,997,300.147867,0.004704,2.69099,0.20602,296.016493,0.081028,1.089537,0.055989,1048955,10,True
uniform_n1000,ab,2,575,308.924741,0.006311,2.494052,0.214799,305.223261,0.098907,0.830181,0.054445,1048955,11,True
uniform_n1000,ab,2,376,312.265239,0.006169,2.554942,0.216895,308.527982,0.105028,0.797787,0.053319,1048955,9,True
uniform_n1000,ab,2,958,299.060893,0.0055,2.533428,0.2033,295.38801,0.096798,0.774065,0.055743,1048955,12,True
uniform_n1000,ab,2,916,297.627937,0.005795,2.8412,0.236323,293.579726,0.11452,0.79205,0.054006,1048955,11,True
uniform_n1000,pbc,2,565,301.851375,0.026083,3.480053,0.268318,296.90163,0.098892,0.990719,0.081712,1048955,11,True
uniform_n1000,pbc,2,92,305.578062,0.031321,3.740399,0.223859,300.631335,0.086564,0.804681,0.056207,1048955,10,True
uniform_n1000,pbc,2,514,299.070301,0.024009,2.915843,0.156738,294.715784,0.105191,1.081037,0.068292,1048955,11,True
uniform_n1000,pbc,2,666,299.948376,0.029095,3.659486,0.211843,295.095296,0.093934,0.800515,0.054571,1048955,10,True
uniform_n1000,pbc,2,468,294.400228,0.025772,2.862809,0.157158,290.231962,0.089099,0.975768,0.05422,1048955,11,True
uniform_n1000,pbc,2,997,302.483066,0.02746,3.279844,0.210041,298.068846,0.080022,0.758736,0.05466,1048955,10,True
uniform_n1000,pbc,2,575,302.910311,0.025713,3.088489,0.152219,298.469325,0.11103,0.999659,0.061278,1048955,11,True
uniform_n1000,pbc,2,376,304.350907,0.027917,3.057597,0.207669,300.034244,0.094417,0.86551,0.059316,1048955,9,True
uniform_n1000,pbc,2,958,313.630135,0.025413,3.669801,0.232444,308.494543,0.104041,1.030948,0.068784,1048955,12,True
uniform_n1000,pbc,2,916,303.531859,0.031339,3.173934,0.202162,299.104003,0.103629,0.809793,0.103391,1048955,11,True
uniform_n10000,pbc,2,8224,347.772409,0.04523,3.515663,0.177968,343.012969,0.098197,0.857547,0.061864,1048955,14,True
uniform_n10000,pbc,2,1497,351.826359,0.041525,3.172498,0.205249,347.379552,0.108109,0.843074,0.073898,1048955,15,True
uniform_n10000,pbc,2,5982,347.670511,0.046159,3.403278,0.246536,342.937375,0.089864,0.880971,0.062223,1048955,13,True
uniform_n10000,pbc,2,3212,360.374481,0.046349,3.290098,0.231366,355.747063,0.112277,0.882801,0.060859,1048955,16,True
uniform_n10000,pbc,2,741,354.858241,0.043236,3.74792,0.271537,349.689058,0.122058,0.905664,0.074574,1048955,15,True
uniform_n10000,pbc,2,6025,359.064909,0.048675,3.745135,0.222267,354.023567,0.108555,0.851565,0.060792,1048955,14,True
uniform_n10000,pbc,2,1475,341.375218,0.061147,3.382282,0.217568,336.154363,0.127424,1.333174,0.094131,1048955,15,True
uniform_n10000,pbc,2,3173,359.136349,0.062875,4.806441,0.279981,352.827749,0.105948,0.984595,0.064052,1048955,13,True
uniform_n10000,pbc,2,4767,348.504856,0.039262,4.035801,0.304574,342.994363,0.182727,0.86228,0.081553,1048955,15,True
uniform_n10000,pbc,2,3455,337.552575,0.047735,4.612609,0.278065,331.588068,0.106385,0.853747,0.061343,1048955,15,True
uniform_n10000,ab,2,8224,297.645625,0.013542,3.221989,0.188805,293.303774,0.095872,0.765233,0.053905,1048955,14,True
uniform_n10000,ab,2,1497,324.679341,0.01128,2.865696,0.245891,320.295352,0.106276,1.08073,0.070139,1048955,15,True
uniform_n10000,ab,2,5982,312.746714,0.013048,4.349927,0.246715,307.033894,0.110429,0.929766,0.059443,1048955,13,True
uniform_n10000,ab,2,3212,309.002806,0.014584,2.877184,0.209904,304.622142,0.114959,1.087183,0.071988,1048955,16,True
uniform_n10000,ab,2,741,302.601649,0.012038,3.613436,0.247004,297.519966,0.105868,1.029505,0.070385,1048955,15,True
uniform_n10000,ab,2,6025,322.232312,0.013872,3.569162,0.225246,317.387747,0.094117,0.88397,0.055099,1048955,14,True
uniform_n10000,ab,2,1475,313.651336,0.012063,2.895806,0.422087,309.133428,0.098852,1.016035,0.06915,1048955,15,True
uniform_n10000,ab,2,3173,318.769441,0.013916,3.492026,0.235686,313.880954,0.097268,0.979315,0.065184,1048955,13,True
uniform_n10000,ab,2,4767,314.73713,0.011634,2.92677,0.170056,310.593871,0.097754,0.873322,0.059288,1048955,15,True
uniform_n10000,ab,2,3455,318.83301,0.012328,3.172377,0.408676,314.299081,0.105211,0.777478,0.053827,1048955,15,True
