dataset,height,method,repeat,n,N,m,logical_queries,chunk_queries,max_bucket,proofs_verified,online_bytes,processing_mean_ms,processing_p50_ms,processing_p95_ms,query_mean_ms,answer_mean_ms,decode_mean_ms,verify_mean_ms,setup_api_ms,setup_total_wall_ms,offline_hint_bytes,client_metadata_bytes,directory_plus_hint_bytes,public_shared_state_bytes,server_payload_bytes,full_cache_bootstrap_bytes,client_directory_parse_ms,runner_peak_rss_bytes
Fuel vectors,128,first_fit,4,100,198,9,9,72,58,100,5152,5.413430830000044,5.461167499999647,6.076059100005103,5.10473354,0.026402730000000003,0.21348017,0.04856337000013866,1.5398599999999998,82.486415,2621440,6442,2627882,2293760,6336,12714,6.417282999997553,20901888
Polygon recent,128,first_fit,0,384,766,11,11,88,210,100,10400,7.3902748899998025,7.259681499997395,8.67738844999498,6.8521819200000005,0.03740814,0.42641369,0.04599769000009246,5.390561999999998,148.325563,5242880,24634,5267514,4947968,24512,49066,7.832354000001374,36139008
Polygon recent,128,flat_active,0,384,766,11,11,88,766,100,39776,10.826954220000356,10.696772500000332,11.855909400006812,10.06012345,0.06223049,0.61861966,0.04519402000042305,2.269251,39.124158,1835008,24554,1859562,1802240,24512,49066,7.046701000000155,16486400
Polygon recent,128,nonempty_depth,0,384,766,11,16,128,168,100,12736,10.026755489999648,9.990191499996474,11.114977699997416,9.33318927,0.048916949999999994,0.55107851,0.049963429999735354,5.101535999999998,181.872807,6553600,24674,6578274,5734400,24512,49066,9.007625000002406,39944192
Polygon recent,128,hybrid,0,384,766,11,11,88,83,100,12128,7.5987521500005135,7.432442000003483,9.1077833000009,6.95068029,0.03638363,0.53080346,0.04835548000009737,4.588982000000002,181.930586,6422528,24634,6447162,5701632,24512,49066,7.319529000000102,41091072
Polygon recent,128,pbc_routed,0,384,766,11,17,136,150,100,26208,12.639054300000224,12.180589500000163,15.382809700004294,11.362194,0.0701632,1.07749407,0.05445339000019089,11.056721000000003,300.780447,13369344,61450,13430794,12746752,73536,49066,8.736964000000569,71270400
Polygon recent,128,activebalance,0,384,766,11,11,88,70,100,11968,7.6826248599998195,7.462821000000586,9.232727899995348,7.0874695899999995,0.03833473,0.47534924,0.04545515999971883,3.805226999999999,168.702083,5767168,24634,5791802,6488064,24512,49066,9.480727999999772,38125568
Polygon recent,128,flat_active,1,384,766,11,11,88,766,100,39776,11.637834959999605,11.235391999998951,14.68084389999939,10.78370829,0.06675507,0.6656574,0.08019524999987482,2.444103,39.098447,1835008,24554,1859562,1802240,24512,49066,6.790144999996528,16535552
Polygon recent,128,pbc_routed,1,384,766,11,17,136,150,100,26208,13.346131919999584,13.044536000003522,16.565267099993385,12.09902659,0.06806796,1.03966235,0.05118073999987871,18.112685,387.769994,13369344,61450,13430794,12746752,73536,49066,11.539014999996766,69738496
Polygon recent,128,nonempty_depth,1,384,766,11,16,128,168,100,12736,11.631779759999947,11.15953100000408,16.089291600000653,10.921278820000001,0.05837001,0.54880734,0.05425537999961705,4.676786000000002,210.750829,6553600,24674,6578274,5734400,24512,49066,10.414202999996292,40910848
Polygon recent,128,activebalance,1,384,766,11,11,88,70,100,11968,8.824605399999376,8.498766999997798,12.345146199999261,8.22902123,0.0374571,0.4662793,0.05353650000010646,5.695608999999999,204.231518,5767168,24634,5791802,6488064,24512,49066,12.944447000002413,39661568
Polygon recent,128,first_fit,1,384,766,11,11,88,210,100,10400,7.977399799999936,7.87023100000465,10.299070449996547,7.39523936,0.04252949,0.42471028,0.08263401999947462,4.8346339999999985,168.468482,5242880,24634,5267514,4947968,24512,49066,12.016830000000311,34885632
Polygon recent,128,hybrid,1,384,766,11,11,88,83,100,12128,8.377712730000429,8.102756000001825,11.602543349996415,7.71914995,0.04089636,0.51386231,0.06421183000007602,6.483896000000001,212.813724,6422528,24634,6447162,5701632,24512,49066,9.165721999998766,39657472
Polygon recent,128,activebalance,2,384,766,11,11,88,70,100,11968,8.286460279999691,7.994357500000913,10.416584550003796,7.63874887,0.03867321,0.48414060000000003,0.08933311999975047,3.967851999999999,178.004768,5767168,24634,5791802,6488064,24512,49066,6.970531000000335,40275968
Polygon recent,128,pbc_routed,2,384,766,11,17,136,150,100,26208,13.390598369999998,12.909488500001824,16.31782420000508,12.105759,0.06967009,1.06334202,0.05136760000013396,11.067835000000002,316.127082,13369344,61450,13430794,12746752,73536,49066,50.460858000001,68481024
Polygon recent,128,hybrid,2,384,766,11,11,88,83,100,12128,7.606813969999241,7.420757999998937,9.956566200002124,7.00586896,0.03436349,0.47607958,0.05752876999999046,4.255353999999999,155.692642,6422528,24634,6447162,5701632,24512,49066,7.683298999999977,41889792
Polygon recent,128,nonempty_depth,2,384,766,11,16,128,168,100,12736,9.948184330000753,9.914738000002178,12.550958650002961,9.30318671,0.05038839,0.49061131,0.06313781000045537,4.54329,197.048366,6553600,24674,6578274,5734400,24512,49066,5.954588000001593,39903232
Polygon recent,128,first_fit,2,384,766,11,11,88,210,100,10400,7.247137559999534,7.065786000004089,9.304590249995792,6.73705822,0.04498669,0.39096043,0.04434856999992576,4.558420000000001,187.573594,5242880,24634,5267514,4947968,24512,49066,7.145729000001211,36020224
Polygon recent,128,flat_active,2,384,766,11,11,88,766,100,39776,10.999179239999924,10.536689999999655,14.276667200004301,10.2113288,0.05929981,0.62395622,0.06595046999990473,2.4174520000000004,40.096459,1835008,24554,1859562,1802240,24512,49066,8.453260999999657,16580608
Polygon recent,128,nonempty_depth,3,384,766,11,16,128,168,100,12736,9.979755550000059,9.953647499996563,12.478947100002985,9.33738623,0.051532739999999994,0.49347331,0.05600458999985847,4.579656,202.11123,6553600,24674,6578274,5734400,24512,49066,16.726660000003335,39755776
Polygon recent,128,flat_active,3,384,766,11,11,88,766,100,39776,10.900256410000111,10.441659499991182,13.176295749998035,10.10838141,0.0639757,0.6398318500000001,0.04962004999967462,2.119429,35.613317,1835008,24554,1859562,1802240,24512,49066,8.228164999998455,16470016
Polygon recent,128,hybrid,3,384,766,11,11,88,83,100,12128,7.987866319999302,7.829164999993425,10.883077949992273,7.367577809999999,0.03721309,0.49062533999999997,0.05830173000035188,4.326331000000001,161.603598,6422528,24634,6447162,5701632,24512,49066,4.96052399999769,39702528
Polygon recent,128,activebalance,3,384,766,11,11,88,70,100,11968,7.675814699999982,7.254879999997918,10.15514530001239,7.13037954,0.03275597,0.4333109,0.045176330000060716,3.836899999999999,157.822202,5767168,24634,5791802,6488064,24512,49066,7.604216000004271,39669760
Polygon recent,128,pbc_routed,3,384,766,11,17,136,150,100,26208,13.041866980000671,12.774339999999722,16.368391549998623,11.88834587,0.06555248,0.9723218100000001,0.043707199999971635,11.449175000000004,296.548187,13369344,61450,13430794,12746752,73536,49066,9.628093000003446,69214208
Polygon recent,128,first_fit,3,384,766,11,11,88,210,100,10400,7.318192370000202,7.16958050000573,9.605078949983154,6.78864475,0.03807855,0.39655564,0.06327330999980063,3.487975,138.59183,5242880,24634,5267514,4947968,24512,49066,9.539696999993907,36089856
Polygon recent,128,first_fit,4,384,766,11,11,88,210,100,10400,7.8235663500001,7.759629000002997,10.11004125000329,7.2726314400000005,0.03957687,0.41233468,0.06459055000078706,3.5115089999999998,139.105566,5242880,24634,5267514,4947968,24512,49066,9.915388000010239,35962880
Polygon recent,128,activebalance,4,384,766,11,11,88,70,100,11968,7.9950453099997105,7.758673499999411,10.824640050004158,7.434866250000001,0.03389403999999999,0.43004101,0.06291944999986754,4.071009,169.694129,5767168,24634,5791802,6488064,24512,49066,6.224794000004863,39055360
Polygon recent,128,pbc_routed,4,384,766,11,17,136,150,100,26208,13.081254260001272,12.677614999997562,16.82750679998608,11.86521868,0.07189181,0.9898641499999999,0.06142469000053552,13.515257999999998,320.357867,13369344,61450,13430794,12746752,73536,49066,55.75570999999968,70733824
Polygon recent,128,hybrid,4,384,766,11,11,88,83,100,12128,7.966814190000762,7.580116499991954,10.65241924999311,7.33678634,0.03559498,0.48579658000000003,0.07317808000024684,5.529529000000002,179.079712,6422528,24634,6447162,5701632,24512,49066,9.026562999991938,41259008
Polygon recent,128,nonempty_depth,4,384,766,11,16,128,168,100,12736,10.209018690000903,10.11894549999311,12.748006249988624,9.55623963,0.05344174,0.5020213,0.053119930000065096,4.798644999999998,193.792434,6553600,24674,6578274,5734400,24512,49066,6.077460999989626,41324544
Polygon recent,128,flat_active,4,384,766,11,11,88,766,100,39776,10.321699939999304,10.145962000005158,11.582611499992607,9.5593174,0.06115697,0.6182373,0.04219723999980829,2.746346,36.092667,1835008,24554,1859562,1802240,24512,49066,6.452737000003594,16019456
ZKsync sample,128,activebalance,0,956,1910,13,13,104,147,100,21216,9.382827850000915,9.163371999988183,11.187957649987135,8.4721855,0.055070469999999996,0.76453337,0.044192199999883996,9.298681,228.832924,10223616,61258,10284874,10649600,61120,122282,8.848470999993197,63737856
ZKsync sample,128,first_fit,0,956,1910,13,13,104,556,100,16640,8.535226679999449,8.31862400000379,10.21934349999723,7.75618342,0.06462056,0.6279954799999999,0.045085229999131116,6.66214,190.217525,8388608,61258,8449866,8028160,61120,122282,7.8841170000032434,50647040
ZKsync sample,128,flat_active,0,956,1910,13,13,104,1910,100,72800,17.094773829999422,16.404851999982633,21.53881519998969,15.44470183,0.14125193,1.38991548,0.06794674999952122,4.188627,55.517136,2883584,61162,2944746,2850816,61120,122282,11.049353999993627,22708224
ZKsync sample,128,nonempty_depth,0,956,1910,13,19,152,370,100,20448,13.518221679999671,12.959339500004031,17.76476849999315,12.53990142,0.07354735,0.78784894,0.056722689999730846,9.910037000000004,298.267796,10616832,61306,10678138,9535488,61120,122282,56.07475200000067,62619648
ZKsync sample,128,hybrid,0,956,1910,13,13,104,180,100,20640,10.5517363299994,10.611066499996856,13.638065249988882,9.59886132,0.06247158,0.79953226,0.04222943999977247,8.449269,248.22134,10616832,61258,10678090,10125312,61120,122282,9.166875000005348,60129280
ZKsync sample,128,pbc_routed,0,956,1910,13,20,160,316,100,44448,17.36365494999903,16.692123999994593,22.061780349996702,15.457284070000002,0.11062230999999999,1.63169703,0.05534697999920013,24.22961500000001,480.912178,23199744,152994,23352738,21495808,183360,122282,13.878480000002469,113139712
ZKsync sample,128,first_fit,1,956,1910,13,13,104,556,100,16640,9.294379339998766,8.947152000005515,12.030189499981537,8.53661667,0.05914606,0.6002940600000001,0.06102609999999231,8.22036,240.213537,8388608,61258,8449866,8028160,61120,122282,10.958106999993333,52088832
ZKsync sample,128,hybrid,1,956,1910,13,13,104,180,100,20640,10.355131709999238,10.232798500003135,13.916132500006253,9.3872234,0.05513023,0.77833903,0.08564836999937597,8.750589000000003,251.892058,10616832,61258,10678090,10125312,61120,122282,8.49172699999201,62119936
ZKsync sample,128,pbc_routed,1,956,1910,13,20,160,316,100,44448,17.63281889000023,17.182259999993946,22.74338195000885,15.67084377,0.1148909,1.68602093,0.05348943000001327,24.085544999999993,472.126818,23199744,152994,23352738,21495808,183360,122282,12.579036999994742,112590848
