id,source_index,n,N,m,B_joint,OPT,original_AB,pair_union,three_color,three_then_four,original_AB_coloring_seconds,pair_additional_seconds,three_additional_seconds,four_additional_seconds,final_stop
S0663,663,13,24,6,4,4,5,5,4,4,0.0006384000880643725,0.0001813999842852354,0.0029366000089794397,6.100046448409557e-06,capacity_certificate
S0664,664,13,24,6,4,4,5,5,4,4,0.0006677999626845121,0.00019700010307133198,0.002728099934756756,5.500041879713535e-06,capacity_certificate
S0665,665,13,24,6,4,4,5,5,4,4,0.0006845999741926789,0.0007128999568521976,0.00314539996907115,5.300040356814861e-06,capacity_certificate
S0666,666,13,24,5,5,5,6,6,6,5,0.0006857000989839435,0.00014300004113465548,0.0015049000503495336,0.007054800051264465,capacity_certificate
S0667,667,13,24,6,4,4,5,5,4,4,0.0007345000049099326,0.00021329999435693026,0.0029424000531435013,5.900044925510883e-06,capacity_certificate
S0668,668,13,24,6,4,4,5,5,4,4,0.001081199967302382,0.0001922999508678913,0.0025258000241592526,5.00003807246685e-06,capacity_certificate
S0669,669,13,24,6,4,4,5,5,4,4,0.0007048000115901232,0.0002161000156775117,0.0033343000104650855,5.499925464391708e-06,capacity_certificate
S0670,670,13,24,5,5,5,5,5,5,5,0.0009599999757483602,8.699949830770493e-06,4.500034265220165e-06,3.2999087125062943e-06,capacity_certificate
S0671,671,13,24,5,5,5,5,5,5,5,0.000989499967545271,7.900060154497623e-06,4.499917849898338e-06,3.300025127828121e-06,capacity_certificate
S0672,672,13,24,6,4,4,5,5,4,4,0.000694400048814714,0.00019139994401484728,0.0023410000139847398,3.700028173625469e-06,capacity_certificate
S0673,673,13,24,5,5,5,5,5,5,5,0.0008495000656694174,5.599926225841045e-06,3.100023604929447e-06,2.400018274784088e-06,capacity_certificate
S0674,674,13,24,5,5,5,5,5,5,5,0.0007786999922245741,5.299923941493034e-06,3.400025889277458e-06,2.900022082030773e-06,capacity_certificate
S0675,675,13,24,5,5,5,5,5,5,5,0.0007104999385774136,5.199923180043697e-06,3.300025127828121e-06,2.700020559132099e-06,capacity_certificate
S0676,676,13,24,5,5,5,5,5,5,5,0.0008233999833464622,4.299916326999664e-06,3.00002284348011e-06,2.500019036233425e-06,capacity_certificate
S0677,677,13,24,5,5,5,5,5,5,5,0.0007138000801205635,4.100031219422817e-06,3.100023604929447e-06,2.600019797682762e-06,capacity_certificate
S0678,678,13,24,6,4,4,5,5,4,4,0.0008047000737860799,0.0001705000177025795,0.0017662999453023076,5.200039595365524e-06,capacity_certificate
S0679,679,13,24,6,4,4,5,5,4,4,0.000609199982136488,0.0001865000231191516,0.0020126999588683248,5.700043402612209e-06,capacity_certificate
S0680,680,13,24,6,4,4,5,5,4,4,0.0007857999298721552,0.0002367999404668808,0.002128200023435056,5.09992241859436e-06,capacity_certificate
S0681,681,13,24,6,4,4,4,4,4,4,0.001689300057478249,3.0099996365606785e-05,1.5700003132224083e-05,5.479995161294937e-05,capacity_certificate
S0682,682,13,24,6,4,4,4,4,4,4,0.001909899991005659,1.0699965059757233e-05,6.100046448409557e-06,4.900037311017513e-06,capacity_certificate
S0683,683,13,24,6,4,4,5,5,4,4,0.0007954000029712915,0.00023330003023147583,0.00281660002656281,6.7999353632330894e-06,capacity_certificate
S0684,684,13,24,6,4,4,5,5,4,4,0.0012954999692738056,0.00023449992295354605,0.003248100052587688,6.00004568696022e-06,capacity_certificate
S0685,685,13,24,6,4,4,4,4,4,4,0.0015866999747231603,9.900075383484364e-06,5.09992241859436e-06,4.300032742321491e-06,capacity_certificate
S0686,686,13,24,6,4,4,4,4,4,4,0.001347400015220046,6.300047971308231e-06,4.799920134246349e-06,4.200031980872154e-06,capacity_certificate
S0687,687,13,24,6,4,4,5,5,4,4,0.001213999930769205,0.0002607000060379505,0.006450299988500774,6.8999361246824265e-06,capacity_certificate
S0688,688,13,24,6,4,4,5,5,4,4,0.0007873000577092171,0.0002199000446125865,0.003091300022788346,7.1999384090304375e-06,capacity_certificate
S0689,689,13,24,6,4,4,5,5,4,4,0.000839899992570281,0.00043979997280985117,0.0036956999683752656,7.1999384090304375e-06,capacity_certificate
S0690,690,13,24,6,4,4,5,5,4,4,0.0008432000176981091,0.00024239998310804367,0.00305649999063462,5.100038833916187e-06,capacity_certificate
S0691,691,13,24,6,4,4,4,4,4,4,0.0015642999205738306,8.900067768990993e-06,5.300040356814861e-06,4.199915565550327e-06,capacity_certificate
S0692,692,13,24,6,4,4,4,4,4,4,0.001679499982856214,9.300070814788342e-06,6.3999323174357414e-06,5.700043402612209e-06,capacity_certificate
S0693,693,13,24,6,4,4,5,5,4,4,0.0008196000708267093,0.0002498000394552946,0.003039299976080656,6.300047971308231e-06,capacity_certificate
S0694,694,13,24,6,4,4,5,5,4,4,0.0011819000355899334,0.00021309999283403158,0.002531600068323314,4.00003045797348e-06,capacity_certificate
S0695,695,13,24,5,5,5,5,5,5,5,0.0004757000133395195,4.700035788118839e-06,3.1999079510569572e-06,2.800021320581436e-06,capacity_certificate
S0696,696,13,24,5,5,5,5,5,5,5,0.0004521000664681196,4.300032742321491e-06,3.00002284348011e-06,2.800021320581436e-06,capacity_certificate
S0697,697,13,24,6,4,4,5,5,4,4,0.0004910000134259462,0.00020889996085315943,0.0027262000367045403,4.399917088449001e-06,capacity_certificate
S0698,698,13,24,5,5,5,5,5,5,5,0.000524599920026958,5.300040356814861e-06,2.9999064281582832e-06,2.800021320581436e-06,capacity_certificate
S0699,699,13,24,5,5,5,5,5,5,5,0.0004841000773012638,4.200031980872154e-06,3.00002284348011e-06,2.600019797682762e-06,capacity_certificate
S0700,700,13,24,5,5,5,5,5,5,5,0.000556900049559772,5.00003807246685e-06,3.3999094739556313e-06,2.800021320581436e-06,capacity_certificate
S0701,701,13,24,5,5,5,5,5,5,5,0.0007519000209867954,7.2999391704797745e-06,3.900029696524143e-06,3.300025127828121e-06,capacity_certificate
S0702,702,13,24,6,4,4,5,5,4,4,0.000598000013269484,0.00018119998276233673,0.0025406000204384327,5.00003807246685e-06,capacity_certificate
S0703,703,13,24,6,4,4,5,5,4,4,0.0010571000166237354,0.00036830001045018435,0.00379569991491735,6.00004568696022e-06,capacity_certificate
S0704,704,13,24,6,4,4,4,4,4,4,0.00149639998562634,6.700051017105579e-06,4.299916326999664e-06,4.200031980872154e-06,capacity_certificate
S0705,705,13,24,6,4,4,4,4,4,4,0.001242100028321147,5.899928510189056e-06,4.00003045797348e-06,3.600027412176132e-06,capacity_certificate
S0706,706,13,24,6,4,4,5,5,4,4,0.0005674000130966306,0.00015979993622750044,0.002257700078189373,3.899913281202316e-06,capacity_certificate
S0707,707,13,24,6,4,4,5,5,4,4,0.0006798999384045601,0.00020949996542185545,0.0036823999835178256,5.400041118264198e-06,capacity_certificate
S0708,708,13,24,6,4,4,5,5,4,4,0.0006174999289214611,0.00018880004063248634,0.0028124001109972596,5.499925464391708e-06,capacity_certificate
S0709,709,13,24,6,4,4,5,5,4,4,0.0005419000517576933,0.00016679998952895403,0.0030223000794649124,5.499925464391708e-06,capacity_certificate
S0710,710,13,24,6,4,4,5,5,5,5,0.0015318000223487616,0.00022879999596625566,0.003884500009007752,0.037064800038933754,no_strict_4_color_improvement
