N,U_over_B,actual_moves,actual_n,actual_passes,algorithm,checkpoint_validation_io_s,coloring_s,compact_extractor,converged,depth_active_queries,distribution,exit_code,extraction_forest_stats_s,height,host,id,imports_s,key_generation_s,key_mode,key_sha256,label,last_completed_checkpoint_only,loads,lower_bound,m,max_bucket,measured_total_s,memory_scope,n,passes,peak_rss_bytes,pid,platform,process_worker_s,python,repeat,rss_bytes,seed,shared_prefix_bits,source,status,subprocess_wall_s,timeout_limit_s,valid
19998,2.417162276975361,1,10000,1,ab-sorted,0.023589799995534122,0.20748340000864118,compressed branching extraction; legacy node/order validated in selfcheck,False,27,prefix-cluster,0,0.10574159992393106,128,Highlights,prefix-cluster_n10000_h128_ab-sorted_p1_s20260910_r1,0.5786221999442205,0.0038569000316783786,,5d7b22b7846a648f44b026e01a4839434857f74fef4a0e847e9222c131f79b5b,,,"[2845, 2248, 1988, 916, 528, 288, 212, 256, 288, 528, 1032, 1976, 2741, 2100, 822, 200, 1030]",1177,17,2845,0.4696153999539092,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,10000,1,89083904,9436,Windows-11-10.0.26200-SP0,1.048239199910313,3.14.2,1,89083904,20260910,24,,complete,1.4048948000418022,120.0,True
19998,1.0016992353440952,20,10000,20,ab-sorted,0.16989250003825873,3.3054614999564365,compressed branching extraction; legacy node/order validated in selfcheck,False,27,prefix-cluster,0,0.07156880002003163,128,Highlights,prefix-cluster_n10000_h128_ab-sorted_p20_s20260910_r1,0.5622628999408334,0.003383800038136542,,5d7b22b7846a648f44b026e01a4839434857f74fef4a0e847e9222c131f79b5b,,,"[1179, 1173, 1178, 1177, 1178, 1177, 1178, 1178, 1177, 1176, 1171, 1177, 1173, 1179, 1174, 1176, 1177]",1177,17,1179,3.670272500021383,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,10000,20,158019584,11124,Windows-11-10.0.26200-SP0,4.232536899973638,3.14.2,1,139288576,20260910,24,,complete,4.7137725999346,120.0,True
19998,4.744265080713679,0,10000,0,first-fit,0.011750200064852834,0.02245970000512898,compressed branching extraction; legacy node/order validated in selfcheck,False,27,prefix-cluster,0,0.07739120000042021,128,Highlights,prefix-cluster_n10000_h128_first-fit_p0_s20260910_r1,0.47893119999207556,0.002744099940173328,,5d7b22b7846a648f44b026e01a4839434857f74fef4a0e847e9222c131f79b5b,,,"[2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 3956, 5584, 4344, 1718, 284, 18]",1177,17,5584,0.23326060001272708,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,10000,0,85368832,8932,Windows-11-10.0.26200-SP0,0.7121933999005705,3.14.2,1,84377600,20260910,24,,complete,1.0623082000529394,120.0,True
254,1.0,5,128,5,ab-hungarian,0.021572899888269603,0.039184900117106736,compressed branching extraction; legacy node/order validated in selfcheck,False,9,prefix-cluster,0,0.0011768999975174665,16,Highlights,prefix-cluster_n128_h16_ab-hungarian_p5_s20260910_r1,0.5338278999552131,7.219996768981218e-05,,d0086048bc656f9f2a7b2763835188d8fb5f5cc89bff9d831c812c2f3611637a,,,"[28, 28, 28, 29, 28, 29, 27, 29, 28]",29,9,29,0.16375429998151958,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,128,5,73224192,12096,Windows-11-10.0.26200-SP0,0.6975843999534845,3.14.2,1,72585216,20260910,7,,complete,0.9620291000464931,120.0,True
254,1.0,5,128,5,ab-sorted,0.021174099994823337,0.007587800035253167,compressed branching extraction; legacy node/order validated in selfcheck,False,9,prefix-cluster,0,0.0015098999720066786,16,Highlights,prefix-cluster_n128_h16_ab-sorted_p5_s20260910_r1,0.6311608999967575,0.00034829997457563877,,d0086048bc656f9f2a7b2763835188d8fb5f5cc89bff9d831c812c2f3611637a,,,"[28, 28, 27, 28, 29, 28, 29, 29, 28]",29,9,29,0.1476247999817133,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,128,5,72896512,48136,Windows-11-10.0.26200-SP0,0.7787887000013143,3.14.2,1,72306688,20260910,7,,complete,1.096332700108178,120.0,True
254,2.7586206896551726,0,128,0,first-fit,0.0046570999547839165,0.000521700014360249,compressed branching extraction; legacy node/order validated in selfcheck,False,9,prefix-cluster,0,0.0017670999513939023,16,Highlights,prefix-cluster_n128_h16_first-fit_p0_s20260910_r1,0.5998061000136659,7.930002175271511e-05,,d0086048bc656f9f2a7b2763835188d8fb5f5cc89bff9d831c812c2f3611637a,,,"[2, 4, 8, 16, 32, 62, 80, 38, 12]",29,9,80,0.12035909993574023,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,128,0,73134080,38128,Windows-11-10.0.26200-SP0,0.7201672999653965,3.14.2,1,72142848,20260910,7,,complete,1.027051700046286,120.0,True
254,1.2758620689655173,2,128,2,hybrid,0.011374900001101196,0.014431899995543063,compressed branching extraction; legacy node/order validated in selfcheck,False,9,prefix-cluster,0,0.000694700051099062,16,Highlights,prefix-cluster_n128_h16_hybrid_p2_s20260910_r1,0.6319783999351785,4.5900000259280205e-05,,d0086048bc656f9f2a7b2763835188d8fb5f5cc89bff9d831c812c2f3611637a,,,"[23, 23, 18, 37, 37, 32, 37, 25, 22]",29,9,37,0.13677179999649525,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,128,2,72888320,46976,Windows-11-10.0.26200-SP0,0.768751599942334,3.14.2,1,72859648,20260910,7,,complete,1.0799062999431044,120.0,True
510,1.109375,5,256,5,ab-hungarian,0.021129900007508695,0.02937709994148463,compressed branching extraction; legacy node/order validated in selfcheck,False,8,saturated,0,0.001920799957588315,16,Highlights,saturated_n256_h16_ab-hungarian_p5_s20260910_r1,0.6444102000677958,2.6900088414549828e-05,,2a6fbc34dee6537ff0f147dece5e93e7dce8957b5dc930541233887ee76313cf,,,"[67, 64, 56, 68, 60, 71, 57, 67]",64,8,71,0.16972450003959239,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,256,5,73097216,5504,Windows-11-10.0.26200-SP0,0.8141372000100091,3.14.2,1,72577024,20260910,,,complete,1.1588506000116467,120.0,True
510,1.109375,5,256,5,ab-sorted,0.02726589993108064,0.016233900096267462,compressed branching extraction; legacy node/order validated in selfcheck,False,8,saturated,0,0.0031549999257549644,16,Highlights,saturated_n256_h16_ab-sorted_p5_s20260910_r1,0.6222071000374854,3.0099996365606785e-05,,2a6fbc34dee6537ff0f147dece5e93e7dce8957b5dc930541233887ee76313cf,,,"[67, 64, 60, 68, 56, 71, 57, 67]",64,8,71,0.16289209993556142,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,256,5,73408512,41460,Windows-11-10.0.26200-SP0,0.7851015999913216,3.14.2,1,72802304,20260910,,,complete,1.0582448999630287,120.0,True
510,4.0,0,256,0,first-fit,0.004099900019355118,0.0007348000071942806,compressed branching extraction; legacy node/order validated in selfcheck,False,8,saturated,0,0.001865199999883771,16,Highlights,saturated_n256_h16_first-fit_p0_s20260910_r1,0.6905683999648318,2.789997961372137e-05,,2a6fbc34dee6537ff0f147dece5e93e7dce8957b5dc930541233887ee76313cf,,,"[2, 4, 8, 16, 32, 64, 128, 256]",64,8,256,0.12732700002379715,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,256,0,72970240,25340,Windows-11-10.0.26200-SP0,0.8178984000114724,3.14.2,1,71979008,20260910,,,complete,1.1590132999699563,120.0,True
