dataset,method,policy,N,colors,max_bucket,directory_and_slots_bytes,full_cache_package_bytes,hint_bytes,expanded_A_bytes,seed_bytes,upload_matrix_bytes,download_matrix_bytes,online_matrix_bytes,seeded_core_bootstrap_bytes,cache_dominates_bytes_for_all_Q_ge_0,break_even_Q_excluding_framing
ZKsync broad,first_fit,eight_chunks_square,15478,17,4282,495466,990634,24641536,23592960,2176,23712,24064,47776,25139178,True,0
ZKsync broad,first_fit,long_record_square,15478,17,4282,495466,990634,8519680,7098368,272,7008,8320,15328,9015418,True,0
ZKsync broad,first_fit,long_record_one_record_row,15478,17,4282,495466,990634,1810432,63397888,272,62016,1768,63784,2306170,True,0
ZKsync broad,first_fit,long_record_min_total_Q1,15478,17,4282,495466,990634,1810432,63397888,272,62016,1768,63784,2306170,True,0
ZKsync broad,first_fit,long_record_min_total_Q10,15478,17,4282,495466,990634,1810432,63397888,272,62016,1768,63784,2306170,True,0
ZKsync broad,first_fit,long_record_min_total_Q100,15478,17,4282,495466,990634,3088384,22700032,272,22260,3016,25276,3584122,True,0
ZKsync broad,first_fit,long_record_min_total_Q1000,15478,17,4282,495466,990634,5644288,10956800,272,10776,5512,16288,6140026,True,0
ZKsync broad,first_fit,long_record_min_total_Q10000,15478,17,4282,495466,990634,7667712,7876608,272,7752,7488,15240,8163450,True,0
ZKsync broad,activebalance,eight_chunks_square,15478,17,911,495466,990634,33423360,33980416,2176,34272,32640,66912,33921002,True,0
ZKsync broad,activebalance,long_record_square,15478,17,911,495466,990634,10862592,10584064,272,10404,10608,21012,11358330,True,0
ZKsync broad,activebalance,long_record_one_record_row,15478,17,911,495466,990634,1810432,63397888,272,62016,1768,63784,2306170,True,0
ZKsync broad,activebalance,long_record_min_total_Q1,15478,17,911,495466,990634,1810432,63397888,272,62016,1768,63784,2306170,True,0
ZKsync broad,activebalance,long_record_min_total_Q10,15478,17,911,495466,990634,1810432,63397888,272,62016,1768,63784,2306170,True,0
ZKsync broad,activebalance,long_record_min_total_Q100,15478,17,911,495466,990634,3620864,31715328,272,31008,3536,34544,4116602,True,0
ZKsync broad,activebalance,long_record_min_total_Q1000,15478,17,911,495466,990634,7241728,15876096,272,15504,7072,22576,7737466,True,0
ZKsync broad,activebalance,long_record_min_total_Q10000,15478,17,911,495466,990634,10862592,10584064,272,10404,10608,21012,11358330,True,0
ZKsync broad,nonempty_depth,eight_chunks_square,15478,25,3014,495530,990634,29753344,28540928,3200,28800,29056,57856,30252074,True,0
ZKsync broad,nonempty_depth,long_record_square,15478,25,3014,495530,990634,10543104,8388608,400,8316,10296,18612,11039034,True,0
ZKsync broad,nonempty_depth,long_record_one_record_row,15478,25,3014,495530,990634,2662400,63397888,400,62028,2600,64628,3158330,True,0
ZKsync broad,nonempty_depth,long_record_min_total_Q1,15478,25,3014,495530,990634,2662400,63397888,400,62028,2600,64628,3158330,True,0
ZKsync broad,nonempty_depth,long_record_min_total_Q10,15478,25,3014,495530,990634,2662400,63397888,400,62028,2600,64628,3158330,True,0
ZKsync broad,nonempty_depth,long_record_min_total_Q100,15478,25,3014,495530,990634,3833856,28618752,400,28056,3744,31800,4329786,True,0
ZKsync broad,nonempty_depth,long_record_min_total_Q1000,15478,25,3014,495530,990634,7135232,12853248,400,12672,6968,19640,7631162,True,0
ZKsync broad,nonempty_depth,long_record_min_total_Q10000,15478,25,3014,495530,990634,9371648,9474048,400,9348,9152,18500,9867578,True,0
ZKsync sample,first_fit,eight_chunks_square,1910,13,556,61258,122282,8388608,8028160,1664,8448,8192,16640,8451530,True,0
ZKsync sample,first_fit,long_record_square,1910,13,556,61258,122282,3407872,2072576,208,2112,3328,5440,3469338,True,0
ZKsync sample,first_fit,long_record_one_record_row,1910,13,556,61258,122282,1384448,7823360,208,7716,1352,9068,1445914,True,0
ZKsync sample,first_fit,long_record_min_total_Q1,1910,13,556,61258,122282,1384448,7823360,208,7716,1352,9068,1445914,True,0
ZKsync sample,first_fit,long_record_min_total_Q10,1910,13,556,61258,122282,1384448,7823360,208,7716,1352,9068,1445914,True,0
ZKsync sample,first_fit,long_record_min_total_Q100,1910,13,556,61258,122282,1384448,7823360,208,7716,1352,9068,1445914,True,0
ZKsync sample,first_fit,long_record_min_total_Q1000,1910,13,556,61258,122282,2129920,3624960,208,3612,2080,5692,2191386,True,0
ZKsync sample,first_fit,long_record_min_total_Q10000,1910,13,556,61258,122282,2768896,2621440,208,2628,2704,5332,2830362,True,0
ZKsync sample,activebalance,eight_chunks_square,1910,13,147,61258,122282,10223616,10649600,1664,11232,9984,21216,10286538,True,0
ZKsync sample,activebalance,long_record_square,1910,13,147,61258,122282,4153344,2609152,208,2652,4056,6708,4214810,True,0
ZKsync sample,activebalance,long_record_one_record_row,1910,13,147,61258,122282,1384448,7823360,208,7644,1352,8996,1445914,True,0
ZKsync sample,activebalance,long_record_min_total_Q1,1910,13,147,61258,122282,1384448,7823360,208,7644,1352,8996,1445914,True,0
ZKsync sample,activebalance,long_record_min_total_Q10,1910,13,147,61258,122282,1384448,7823360,208,7644,1352,8996,1445914,True,0
ZKsync sample,activebalance,long_record_min_total_Q100,1910,13,147,61258,122282,1384448,7823360,208,7644,1352,8996,1445914,True,0
ZKsync sample,activebalance,long_record_min_total_Q1000,1910,13,147,61258,122282,2768896,3936256,208,3900,2704,6604,2830362,True,0
ZKsync sample,activebalance,long_record_min_total_Q10000,1910,13,147,61258,122282,2768896,3936256,208,3900,2704,6604,2830362,True,0
ZKsync sample,nonempty_depth,eight_chunks_square,1910,19,370,61306,122282,10616832,9535488,2432,10080,10368,20448,10680570,True,0
ZKsync sample,nonempty_depth,long_record_square,1910,19,370,61306,122282,4259840,2523136,304,2568,4160,6728,4321450,True,0
ZKsync sample,nonempty_depth,long_record_one_record_row,1910,19,370,61306,122282,2023424,7823360,304,7740,1976,9716,2085034,True,0
ZKsync sample,nonempty_depth,long_record_min_total_Q1,1910,19,370,61306,122282,2023424,7823360,304,7740,1976,9716,2085034,True,0
ZKsync sample,nonempty_depth,long_record_min_total_Q10,1910,19,370,61306,122282,2023424,7823360,304,7740,1976,9716,2085034,True,0
ZKsync sample,nonempty_depth,long_record_min_total_Q100,1910,19,370,61306,122282,2023424,7823360,304,7740,1976,9716,2085034,True,0
ZKsync sample,nonempty_depth,long_record_min_total_Q1000,1910,19,370,61306,122282,2875392,4067328,304,4080,2808,6888,2937002,True,0
ZKsync sample,nonempty_depth,long_record_min_total_Q10000,1910,19,370,61306,122282,3727360,2924544,304,2952,3640,6592,3788970,True,0
CT 512,first_fit,eight_chunks_square,1022,13,306,32842,65450,6553600,5668864,1664,6144,6400,12544,6588106,True,0
CT 512,first_fit,long_record_square,1022,13,306,32842,65450,2768896,1421312,208,1464,2704,4168,2801946,True,0
CT 512,first_fit,long_record_one_record_row,1022,13,306,32842,65450,1384448,4186112,208,4152,1352,5504,1417498,True,0
CT 512,first_fit,long_record_min_total_Q1,1022,13,306,32842,65450,1384448,4186112,208,4152,1352,5504,1417498,True,0
CT 512,first_fit,long_record_min_total_Q10,1022,13,306,32842,65450,1384448,4186112,208,4152,1352,5504,1417498,True,0
CT 512,first_fit,long_record_min_total_Q100,1022,13,306,32842,65450,1384448,4186112,208,4152,1352,5504,1417498,True,0
CT 512,first_fit,long_record_min_total_Q1000,1022,13,306,32842,65450,1810432,2461696,208,2472,1768,4240,1843482,True,0
CT 512,first_fit,long_record_min_total_Q10000,1022,13,306,32842,65450,2129920,1957888,208,1968,2080,4048,2162970,True,0
CT 512,activebalance,eight_chunks_square,1022,13,79,32842,65450,8519680,6815744,1664,7488,8320,15808,8554186,True,0
CT 512,activebalance,long_record_square,1022,13,79,32842,65450,2768896,2109440,208,2124,2704,4828,2801946,True,0
CT 512,activebalance,long_record_one_record_row,1022,13,79,32842,65450,1384448,4186112,208,4152,1352,5504,1417498,True,0
CT 512,activebalance,long_record_min_total_Q1,1022,13,79,32842,65450,1384448,4186112,208,4152,1352,5504,1417498,True,0
CT 512,activebalance,long_record_min_total_Q10,1022,13,79,32842,65450,1384448,4186112,208,4152,1352,5504,1417498,True,0
CT 512,activebalance,long_record_min_total_Q100,1022,13,79,32842,65450,1384448,4186112,208,4152,1352,5504,1417498,True,0
CT 512,activebalance,long_record_min_total_Q1000,1022,13,79,32842,65450,1384448,4186112,208,4152,1352,5504,1417498,True,0
CT 512,activebalance,long_record_min_total_Q10000,1022,13,79,32842,65450,2768896,2109440,208,2124,2704,4828,2801946,True,0
CT 512,nonempty_depth,eight_chunks_square,1022,17,196,32874,65450,7471104,6848512,2176,7488,7296,14784,7506154,True,0
CT 512,nonempty_depth,long_record_square,1022,17,196,32874,65450,3194880,1748992,272,1788,3120,4908,3228026,True,0
CT 512,nonempty_depth,long_record_one_record_row,1022,17,196,32874,65450,1810432,4186112,272,4176,1768,5944,1843578,True,0
CT 512,nonempty_depth,long_record_min_total_Q1,1022,17,196,32874,65450,1810432,4186112,272,4176,1768,5944,1843578,True,0
CT 512,nonempty_depth,long_record_min_total_Q10,1022,17,196,32874,65450,1810432,4186112,272,4176,1768,5944,1843578,True,0
CT 512,nonempty_depth,long_record_min_total_Q100,1022,17,196,32874,65450,1810432,4186112,272,4176,1768,5944,1843578,True,0
CT 512,nonempty_depth,long_record_min_total_Q1000,1022,17,196,32874,65450,2236416,2789376,272,2808,2184,4992,2269562,True,0
CT 512,nonempty_depth,long_record_min_total_Q10000,1022,17,196,32874,65450,2768896,2076672,272,2100,2704,4804,2802042,True,0
